WAT_Id;btxoms;btccod;btlcod;sgkcod;sgkoms;KROSPAR;OSPAR;OSPAR_EUC;Trofie;DiatomeeFlagellaat;DiatDinoOverig;Fylum;Klasse;GenusPlus;ID_old;GEEL;Ecologische informatie;Opmerkingen;btxoms1990;sgkcod1990;btxoms1993;sgkcod1993;btxoms1994;sgkcod1994;btxoms1999;sgkcod1999;btxoms2003;sgkcod2003;BIOVLME_;BIOMSA_;CHLFa_
352;Pseudo-nitzschia sp 269014;5232606060;PSNISPEA;NVT;Niet van toepassing;;;Pseudo-nitzschia spp;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Pseudo-nitzschia;525;0;kust en estuarien;;Pennales;BLU1;Pennales;BLU1;Pennales;BLU1;Pennales;BLU1;Pseudo-nitzschia sp 269014;NVT;120;;50
351;Pseudo-nitzschia turgidula;5232606050;PSNITURG;NVT;Niet van toepassing;;;Pseudo-nitzschia spp;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Pseudo-nitzschia;526;0;;Bovenstaande 2 taxa in 1) en 2b) geteld als pennales;Pennales;BLU1;Pennales;BLU1;Pennales;BLU1;Pennales;BLU1;Pseudo-nitzschia turgidula;NVT;240;;50
79;Pseudopedinella;5211604000;PSPESPEC;NVT;Niet van toepassing;;;;fototroof;Flagellaten;Overig;Chromophyta;Chrysophyceae;Pseudopedinella;527;0;;In 1) is dit taxon gebruikt voor Pyramimonas >10æm;Pyramimonas;DUG10;Pyramimonas;DUG10;Pseudopedinella;NVT;Pseudopedinella;NVT;Pseudopedinella;NVT;262;;50
8;Pteromonas;5111203000;PTERSPEC;NVT;Niet van toepassing;;;;fototroof;;Overig;Chlorophyta;Chlorophyceae;Pteromonas;528;0;zoetwatersoort;In 1) geteld als bol indet, in 2b) als chlorophyceae;Ondetermineerbare alg;DU003010;Ondetermineerbare alg;DU003010;Chlorophyceae;NVT;Chlorophyceae;NVT;Pteromonas;NVT;884;;50
59;Pterosperma;5141203000;PTSPSPEC;NVT;Niet van toepassing;;;;fototroof;Flagellaten;Overig;Chlorophyta;Prasinophyceae;Pterosperma;529;0;;Samenvoegen met onderstaande soort als Pterosperma, in 1) geteld als bol indet;Ondetermineerbare alg;DU003010;Ondetermineerbare alg;DU003010;Pterosperma;NVT;Pterosperma;NVT;Pterosperma;NVT;524;;50
60;Pterosperma polygonum;5141203030;PTSPPOLY;NVT;Niet van toepassing;;;;fototroof;Flagellaten;Overig;Chlorophyta;Prasinophyceae;Pterosperma;530;0;;24/11: weglaten;weglaten;NVT;Pterosperma;NVT;Pterosperma;NVT;Pterosperma;NVT;Pterosperma polygonum;NVT;268;;50
598;Pyramimonas;5111701000;PYRASPEC;DUK10;Diameter < 10 um;;;;fototroof;Flagellaten;Overig;Chlorophyta;Chlorophyceae;Pyramimonas;531;0;;"; laten we maar 531 doen; De <10 uit deze groep zijn eigenlijk alleen in 4 goed geteld, in 2 en 3 wrsch onderschat, en in 1 geheel niet geteld. >10 is in 1 (en 2a en 3?) geteld als Pseudopedinella";niet geteld;LUK10;niet geteld;LUK10;niet geteld;LUK10;niet geteld;LUK10;Pyramimonas;LUK10;268;;50
647;Pyramimonas;5111701000;PYRASPEC;LUG10;Lengte > 10 um;;;;fototroof;Flagellaten;Overig;Chlorophyta;Chlorophyceae;Pyramimonas;532;0;;"; De <10 uit deze groep zijn eigenlijk alleen in 4 goed geteld, in 2 en 3 wrsch onderschat, en in 1 geheel niet geteld. >10 is in 1 (en 2a en 3?) geteld als Pseudopedinella; 24/11: weglaten";weglaten;NVT;Pyramimonas;LUG10;Pyramimonas;LUG10;Pyramimonas;LUG10;Pyramimonas;LUG10;226;;50
708;Pyramimonas;5141201000;PYRASPEC;LUG10;Lengte > 10 um;;;;fototroof;Flagellaten;Overig;Chlorophyta;Chlorophyceae;Pyramimonas;;;betreft meestal P. longicauda;"; De <10 uit deze groep zijn eigenlijk alleen in 4 goed geteld, in 2 en 3 wrsch onderschat, en in 1 geheel niet geteld. >10 is in 1 (en 2a en 3?) geteld als Pseudopedinella; 24/11: weglaten";weglaten;NVT;Pyramimonas;LUG10;Pyramimonas;LUG10;Pyramimonas;LUG10;Pyramimonas;LUG10;226;;50
644;Pyramimonas;5111701000;PYRASPEC;LUK10;Lengte < 10 um;;;;fototroof;Flagellaten;Overig;Chlorophyta;Chlorophyceae;Pyramimonas;531;0;;"; De <10 uit deze groep zijn eigenlijk alleen in 4 goed geteld, in 2 en 3 wrsch onderschat, en in 1 geheel niet geteld. >10 is in 1 (en 2a en 3?) geteld als Pseudopedinella";niet geteld;LUK10;niet geteld;LUK10;niet geteld;LUK10;niet geteld;LUK10;Pyramimonas;LUK10;113;;50
707;Pyramimonas;5141201000;PYRASPEC;LUK10;Lengte < 10 um;;;;fototroof;Flagellaten;Overig;Chlorophyta;Chlorophyceae;Pyramimonas;;;;"; laten we maar 531 doen; De <10 uit deze groep zijn eigenlijk alleen in 4 goed geteld, in 2 en 3 wrsch onderschat, en in 1 geheel niet geteld. >10 is in 1 (en 2a en 3?) geteld als Pseudopedinella";niet geteld;LUK10;niet geteld;LUK10;niet geteld;LUK10;niet geteld;LUK10;Pyramimonas;LUK10;113;;50
9;Pyramimonas;5111701000;PYRASPEC;NVT;Niet van toepassing;;;;fototroof;Flagellaten;Overig;Chlorophyta;Chlorophyceae;Pyramimonas;531;0;;"; laten we maar 531 doen; De <10 uit deze groep zijn eigenlijk alleen in 4 goed geteld, in 2 en 3 wrsch onderschat, en in 1 geheel niet geteld. >10 is in 1 (en 2a en 3?) geteld als Pseudopedinella; 24/11: weglaten";weglaten;LUK10;Pyramimonas;LUK10;Pyramimonas;LUK10;Pyramimonas;LUK10;Pyramimonas;LUK10;768;;50
10;Pyramimonas longicauda;5111701080;PYRALONG;NVT;Niet van toepassing;;;;fototroof;Flagellaten;Overig;Chlorophyta;Chlorophyceae;Pyramimonas;533;0;;Identiek aan Pyramimonas >10æm;Pyramimonas;DUG10;Pyramimonas;DUG10;Pyramimonas;DUG10;Pyramimonas;DUG10;Pyramimonas longicauda;NVT;226;;50
542;Pyrocystis hamulus;5255102040;PYROHAMU;NVT;Niet van toepassing;;;;fototroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Pyrocystis;534;0;off-shore;;Pyrocystis hamulus;NVT;Pyrocystis hamulus;NVT;Pyrocystis hamulus;NVT;Pyrocystis hamulus;NVT;Pyrocystis hamulus;NVT;10472;;50
537;Pyrophacus horologium;5253501010;PYPHHORO;NVT;Niet van toepassing;;;;fototroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Pyrophacus;535;0;off-shore;;Pyrophacus horologium;NVT;Pyrophacus horologium;NVT;Pyrophacus horologium;NVT;Peridiniaceae;DUG50;Pyrophacus horologium;NVT;56549;;50
585;Raphidophyceae;6630000000;RADOPHEA;NVT;Niet van toepassing;;;;fototroof;Flagellaten;Overig;Flag.v.onz.syst.plaats;Raphidophyceae;Raphidophyceae;536;0;;In 1) geteld als bol indet;Ondetermineerbare alg;DU003010;Ondetermineerbare alg;DU003010;Raphidophyceae;NVT;Raphidophyceae;NVT;Raphidophyceae;NVT;1821;;50
280;Rhabdonema;5232115000;RBNESPEC;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhabdonema;537;0;kust en estuarien;Mogelijk verward met Grammatophora;Pennales;BLU1;Pennales;BLU1;Pennales;BLU1;Pennales;BLU1;Rhabdonema;NVT;1953;;50
281;Rhaphoneis;5232116000;RHAPSPEC;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhaphoneis;538;0;;Categorie voor Delphineis surirella of Raphoneis amphiceros;Rhaphoneis;NVT;Rhaphoneis;NVT;Rhaphoneis;NVT;Rhaphoneis;NVT;Rhaphoneis;NVT;65;;50
623;Rhaphoneis amphiceros;5232116010;RHAPAMPH;DU010030;Diameter > 10 um, Diameter < 30 um;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhaphoneis;539;1;;"; = 539";Rhaphoneis;NVT;Rhaphoneis;NVT;Rhaphoneis;NVT;Rhaphoneis;NVT;Rhaphoneis amphiceros;NVT;221;;50
282;Rhaphoneis amphiceros;5232116010;RHAPAMPH;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Rhaphoneis;539;1;;;Rhaphoneis;NVT;Rhaphoneis;NVT;Rhaphoneis;NVT;Rhaphoneis;NVT;Rhaphoneis amphiceros;NVT;221;;50
591;Rhizomonas setigera;6641115010;RHMOSETI;NVT;Niet van toepassing;;;;heterotroof;Flagellaten;Overig;Flag.v.onz.syst.plaats;Kleurl.flagel.v.onz.syst.;Rhizomonas;540;0;off-shore;"In 1) en 2b) geteld als protomonadales; 24/11: weglaten";weglaten;DUK10;Protomonadales;DUK10;Protomonadales;DUK10;Protomonadales;DUK10;Rhizomonas setigera;NVT;228;;50
