WAT_Id;btxoms;btccod;btlcod;sgkcod;sgkoms;KROSPAR;OSPAR;OSPAR_EUC;Trofie;DiatomeeFlagellaat;DiatDinoOverig;Fylum;Klasse;GenusPlus;ID_old;GEEL;Ecologische informatie;Opmerkingen;btxoms1990;sgkcod1990;btxoms1993;sgkcod1993;btxoms1994;sgkcod1994;btxoms1999;sgkcod1999;btxoms2003;sgkcod2003;BIOVLME_;BIOMSA_;CHLFa_
295;Achnanthes;5232301000;ACHNSPEC;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Achnanthes;1;0;benthische soort;Pennate diatomee, vermoedelijk niet juist gedetermineerd, in 4): pennate diatomee van grootteklasse >10 æm b. <50 æm l. of >50 æm l.;Pennales;BLU4;Pennales;BLU4;Pennales;BLU1;Pennales;BLU4;Achnanthes;NVT;1571;;50
296;Achnanthes brevipes;5232301050;ACHNBREV;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Achnanthes;2;0;benthische soort;;Pennales;BLU4;Pennales;BLU4;Pennales;BLU4;Pennales;BLU4;Achnanthes brevipes;NVT;10908;;50
27;Actinastrum;5115201000;ACNASPEC;NVT;Niet van toepassing;;;;fototroof;;Overig;Chlorophyta;Chlorophyceae;Actinastrum;3;0;zoetwatersoort;Chlorophyceae uit zoet water afkomstig. In 1) niet geteld, in 2b) niet waargenomen of geteld als chlorophyceae;niet geteld;NVT;niet geteld;NVT;Chlorophyceae;NVT;Chlorophyceae;NVT;Actinastrum;NVT;110;;50
28;Actinastrum hantzschii;5115201030;ACNAHANT;NVT;Niet van toepassing;;;;fototroof;;Overig;Chlorophyta;Chlorophyceae;Actinastrum;4;0;zoetwatersoort;Samenvoegen met Actinastrum;niet geteld;NVT;niet geteld;NVT;Chlorophyceae;NVT;Chlorophyceae;NVT;Actinastrum;NVT;110;;50
547;Actiniscus pentasterias;5257101010;ACNIPENT;NVT;Niet van toepassing;;;;heterotroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Actiniscus;5;0;off-shore;Deze dinoflagellaat kan sinds 2000 worden geteld, was in 1) geteld als bol indet of dinophyceae (heterotroof) of Gymnodinium, in 2b) niet waargenomen;Dinophyceae;NVT;Dinophyceae;NVT;Dinophyceae;NVT;Dinophyceae;NVT;Actiniscus pentasterias;NVT;7069;;50
156;Actinocyclus;5231301000;ACCYSPEC;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Actinocyclus;6;0;;mogelijk A. octonarius;Centrales;DUG50;Centrales;DUG50;Centrales;DUG50;Centrales;DUG50;Actinocyclus;NVT;29452;;50
157;Actinocyclus cholnokyi;5231301010;ACCYCHOL;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Actinocyclus;7;0;;Zeer onwaarschijnlijke identificatie;Centrales;DU030050;Centrales;DU030050;Centrales;DU030050;Centrales;DU030050;Actinocyclus cholnokyi;NVT;29452;;50
159;Actinocyclus normanii;5231301030;ACCYNORM;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Actinocyclus;8;0;zoetwatersoort;centrale diatomee afkomstig uit zoet water, vermoedelijk in 3) als centrale diatomee 10-30 æm geteld;Centrales;DU030050;Centrales;DU030050;Centrales;DU030050;Centrales;DU030050;Actinocyclus normanii;NVT;6786;;50
158;Actinocyclus octonarius;5231301020;ACCYOCTO;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Actinocyclus;9;0;;centrale diatomee afkomstig uit zoet water, vermoedelijk in 3) soms als centrale diatomee >30 æm geteld;Centrales;DUG50;Centrales;DUG50;Centrales;DUG50;Centrales;DUG50;Actinocyclus octonarius;NVT;142550;;50
155;Actinoptychus senarius;5231201020;ACPTSENA;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Actinoptychus;10;1;kust en estuarien;;Actinoptychus senarius;NVT;Actinoptychus senarius;NVT;Actinoptychus senarius;NVT;Actinoptychus senarius;NVT;Actinoptychus senarius;NVT;49087;;50
154;Actinoptychus splendens;5231201010;ACPTSPLE;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Actinoptychus;11;1;kust en estuarien;;Actinoptychus splendens;NVT;Actinoptychus splendens;NVT;Actinoptychus splendens;NVT;Actinoptychus splendens;NVT;Actinoptychus splendens;NVT;575173;;50
671;Alexandrium;5253401000;ALEXSPEC;CYSTE;Cyste;Alexandrium spp;Alexandrium spp;Alexandrium spp;fototroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Alexandrium;391;0;;"; meestal als bol indet geteld (391)";Ondetermineerbare alg;DU010030;Ondetermineerbare alg;DU010030;Ondetermineerbare alg;DU010030;Ondetermineerbare alg;DU010030;Ondetermineerbare alg;DU010030;14137;;50
532;Alexandrium;5253401000;ALEXSPEC;NVT;Niet van toepassing;Alexandrium spp;Alexandrium spp;Alexandrium spp;fototroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Alexandrium;12;0;;"Alexandrium en de A-soorten kunnen alleen met fluorescentie geteld worden. In 1) heb ik ook waarnemingen van A.leei, margalefii, minutum ostenfeldii gedaan; die zie ik hier niet terug!; 24/11: weglaten of naar Peridiniaceae 30-50";Peridiniaceae;DU030050;Alexandrium;NVT;Alexandrium;NVT;Alexandrium;NVT;Alexandrium;NVT;14137;;50
533;Alexandrium leei;5253401030;ALEXLEEI;NVT;Niet van toepassing;;Alexandrium spp;Alexandrium spp;fototroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Alexandrium;13;0;off-shore;24/11: weglaten of naar Peridiniaceae 30-50;Peridiniaceae;DU030050;Alexandrium;NVT;Alexandrium;NVT;Alexandrium;NVT;Alexandrium leei;NVT;33510;;50
536;Alexandrium margalefii;5253401060;ALEXMARG;NVT;Niet van toepassing;;Alexandrium spp;Alexandrium spp;fototroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Alexandrium;14;0;off-shore;24/11: weglaten of naar Peridiniaceae 30-50;Peridiniaceae;DU030050;Alexandrium;NVT;Alexandrium;NVT;Alexandrium;NVT;Alexandrium margalefii;NVT;22449;;50
534;Alexandrium minutum;5253401040;ALEXMINU;NVT;Niet van toepassing;Alexandrium spp;Alexandrium spp;Alexandrium spp;fototroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Alexandrium;15;0;off-shore;24/11: weglaten of naar Peridiniaceae 30-50;Peridiniaceae;DU030050;Alexandrium;NVT;Alexandrium;NVT;Alexandrium;NVT;Alexandrium minutum;NVT;4189;;50
535;Alexandrium ostenfeldii;5253401050;ALEXOSTE;NVT;Niet van toepassing;Alexandrium spp;Alexandrium spp;Alexandrium spp;fototroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Alexandrium;16;0;;24/11: weglaten of naar Peridiniaceae 30-50;Peridiniaceae;DU030050;Alexandrium;NVT;Alexandrium;NVT;Alexandrium;NVT;Alexandrium ostenfeldii;NVT;47713;;50
505;Alexandrium tamarense;5252801040;ALEXTAMA;NVT;Niet van toepassing;Alexandrium spp;Alexandrium spp;Alexandrium spp;fototroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Alexandrium;17;0;;24/11: weglaten of naar Peridiniaceae 30-50;Peridiniaceae;DU030050;Alexandrium;NVT;Alexandrium;NVT;Alexandrium;NVT;Alexandrium tamarense;NVT;33510;;50
673;Amphidinium;5252101000;AMDISPEC;FOTTF;Fototroof;;;;beide, of onbekend;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Amphidinium;310;0;;"; bovenstaande categorie is exclusief voor Heterocapsa minima gebruikt in p1 (310); 24/11: de meeste betreffen Heterocapsa minima, dus daar heen verhuizen";Heterocapsa minima;NVT;Amphidinium;NVT;Heterocapsa minima;NVT;Heterocapsa minima;NVT;Heterocapsa minima;NVT;442;;50
376;Amphidinium;5252101000;AMDISPEC;NVT;Niet van toepassing;;;;beide, of onbekend;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Amphidinium;18;0;;De waarnemingen van Amphidinium in 1990 en 1991 betreffen merendeels Heterocapsa minima (cf);Dinophyceae;NVT;Dinophyceae;NVT;Dinophyceae;NVT;Dinophyceae;NVT;Amphidinium;NVT;1047;;50
381;Amphidinium acutissimum;5252101120;AMDIACUT;NVT;Niet van toepassing;;;;heterotroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Amphidinium;19;0;;Bovenstaande 3 soorten zijn alle Oxytoxumsoorten, in 1990 geteld als dinophyceae;Dinophyceae;NVT;Oxytoxum;NVT;Oxytoxum;NVT;Oxytoxum;NVT;Amphidinium acutissimum;NVT;1047;;50
379;Amphidinium crassum;5252101100;AMDICRAS;NVT;Niet van toepassing;;;;heterotroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Amphidinium;20;0;;Bovenstaande 3 soorten zijn alle Oxytoxumsoorten, in 1990 geteld als dinophyceae;Dinophyceae;NVT;Oxytoxum;NVT;Oxytoxum;NVT;Oxytoxum;NVT;Amphidinium crassum;NVT;6283;;50
377;Amphidinium longum;5252101030;AMDILONG;NVT;Niet van toepassing;;;;heterotroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Amphidinium;21;0;;Bovenstaande 3 soorten zijn alle Oxytoxumsoorten, in 1990 geteld als dinophyceae;Dinophyceae;NVT;Oxytoxum;NVT;Oxytoxum;NVT;Oxytoxum;NVT;Amphidinium longum;NVT;465;;50
380;Amphidinium operculatum;5252101110;AMDIOPER;NVT;Niet van toepassing;;;;fototroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Amphidinium;22;0;;"Hoewel ik deze waarneming niet heb gedaan weet ik zeker dat het hier een vergissing betreft; advies: verwijderen (of bol indet 10-30 æm)";Ondetermineerbare alg;DU010030;Ondetermineerbare alg;DU010030;Ondetermineerbare alg;DU010030;Ondetermineerbare alg;DU010030;Amphidinium operculatum;NVT;1047;;50
378;Amphidinium sphenoides;5252101040;AMDISPHE;NVT;Niet van toepassing;;;;heterotroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Amphidinium;23;1;off-shore;;Dinophyceae;NVT;Dinophyceae;NVT;Amphidinium sphenoides;NVT;Amphidinium sphenoides;NVT;Amphidinium sphenoides;NVT;3723;;50
513;Amphidoma;5252804000;AMPDSPEC;NVT;Niet van toepassing;;;;fototroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Amphidoma;24;0;off-shore;24/11: alleen in 1) en 4) betrouwbaar geteld, weglaten.;weglaten;NVT;Amphidoma;NVT;Amphidoma;NVT;Amphidoma;NVT;Amphidoma;NVT;14570;;50
300;Amphora;5232403000;AMRASPEC;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Amphora;25;0;benthische soort;24/11: kennelijk in 2b) en 3) niet goed geteld, naar Pennales BLU1;Pennales;BLU1;Amphora;NVT;Amphora;NVT;Pennales;BLU1;Amphora;NVT;1571;;50
301;Amphora laevis;5232403170;AMRALAEV;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Amphora;26;0;benthische soort;"Bovenstaande 2 soorten onder Amphora brengen, in latere jaren worden nl geen soorten geteld.; 24/11: kennelijk in 2b) en 3) niet goed geteld, naar Pennales BLU1.";Pennales;BLU1;Amphora;NVT;Amphora;NVT;Amphora;NVT;Amphora laevis;NVT;5301;;50
302;Amphora laevis var. perminuta;5232403172;AMRALApe;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Amphora;27;0;benthische soort;"Bovenstaande 2 soorten onder Amphora brengen, in latere jaren worden nl geen soorten geteld..; 24/11: kennelijk in 2b) en 3) niet goed geteld, naar Pennales BLU1.";Pennales;BLU1;Amphora;NVT;Amphora;NVT;Amphora;NVT;Amphora laevis var. perminuta;NVT;1571;;50
563;Anabaena;5614601000;ANNASPEC;NVT;Niet van toepassing;;;;fototroof;;Overig;Cyanophyta;Cyanophyceae;Anabaena;28;0;zoetwatersoort;"Draadvormige blauwwieren als Anabaena zijn in 1) (en 2a) en 3)?)onder hormogonales of Cyanophyta geteld; 24/11: weglaten, te heterogeen";weglaten;NVT;Cyanophyceae;NVT;Cyanophyceae;NVT;Cyanophyceae;NVT;Anabaena;NVT;65;;50
564;Anabaena flos-aquae;5614601090;ANNAFLOS;NVT;Niet van toepassing;;;;fototroof;;Overig;Cyanophyta;Cyanophyceae;Anabaena;29;0;zoetwatersoort;"Draadvormige blauwwieren als Anabaena zijn in 1) (en 2a) en 3)?)onder hormogonales of Cyanophyta geteld; 24/11: weglaten, te heterogeen";weglaten;NVT;Cyanophyceae;NVT;Cyanophyceae;NVT;Cyanophyceae;NVT;Anabaena flos-aquae;NVT;65;;50
42;Ankistrodesmus;5115301000;ANKISPEC;NVT;Niet van toepassing;;;;fototroof;;Overig;Chlorophyta;Chlorophyceae;Ankistrodesmus;30;0;zoetwatersoort;24/11: weglaten, niet consequent geteld.;weglaten;NVT;Chlorophyceae;NVT;Chlorophyceae;NVT;Chlorophyceae;NVT;Ankistrodesmus;NVT;35;;50
75;Apedinella;5211602000;APEDSPEC;NVT;Niet van toepassing;;;;fototroof;;Overig;Chromophyta;Chrysophyceae;Apedinella;31;0;;Er is maar 1 soort, nl A.spinifera, samennemen met Aedinella spinifera. In 1) en 2b) wrsch geteld als bol indet 3-10æm;Ondetermineerbare alg;DU003010;Ondetermineerbare alg;DU003010;Ondetermineerbare alg;DU003010;Apedinella spinifera;NVT;Apedinella;NVT;268;;50
76;Apedinella spinifera;5211602010;APEDSPIN;NVT;Niet van toepassing;;;;fototroof;;Overig;Chromophyta;Chrysophyceae;Apedinella;32;0;off-shore;Er is maar 1 soort, nl A.spinifera, samennemen met Apedinelladus 2 bovenstaande samennemen. In 1) en 2b) wrsch geteld als bol indet 3-10æm;Ondetermineerbare alg;DU003010;Ondetermineerbare alg;DU003010;Ondetermineerbare alg;DU003010;Apedinella spinifera;NVT;Apedinella spinifera;NVT;268;;50
565;Aphanizomenon;5614603000;APNISPEC;NVT;Niet van toepassing;;;;fototroof;;Overig;Cyanophyta;Cyanophyceae;Aphanizomenon;33;0;zoetwatersoort;"Draadvormige blauwwieren als Aphanizomenon zijn in 1) als Cyanophyceae geteld en in 2b) als hormogonales.; 24/11: weglaten, te heterogeen";weglaten;NVT;Cyanophyceae;NVT;Cyanophyceae;NVT;Cyanophyceae;NVT;Aphanizomenon;NVT;88;;50
556;Aphanothece;5611102000;APTHSPEC;NVT;Niet van toepassing;;;;fototroof;;Overig;Cyanophyta;Cyanophyceae;Aphanothece;34;0;zoetwatersoort;Ook wel geteld als chroococcales, maar in 1) niet geteld (<3æm);niet geteld;NVT;niet geteld;NVT;Chroococcales;NVT;Cyanophyceae;NVT;Aphanothece;NVT;1;;50
265;Asterionella formosa;5232101010;ASRIFORM;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Asterionella;35;0;zoetwatersoort;;Asterionella formosa;NVT;Asterionella formosa;NVT;Asterionella formosa;NVT;Asterionella formosa;NVT;Asterionella formosa;NVT;450;;50
266;Asterionella glacialis;5232101030;ASRIGLAC;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Asterionella;36;1;;;Asterionella glacialis;NVT;Asterionella glacialis;NVT;Asterionella glacialis;NVT;Asterionella glacialis;NVT;Asterionella glacialis;NVT;589;;50
267;Asterionella kariana;5232101040;ASRIKARI;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Asterionella;37;1;kust en estuarien;;Asterionella kariana;NVT;Asterionella kariana;NVT;Asterionella kariana;NVT;Asterionella kariana;NVT;Asterionella kariana;NVT;491;;50
235;Attheya;5231601000;ATTHSPEC;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Attheya;38;0;;In 1) en 2b) geteld als Chaetoceros;Chaetoceros;NVT;Chaetoceros;NVT;Chaetoceros;NVT;Chaetoceros;NVT;Attheya;NVT;663;;50
236;Attheya septentrionalis;5231601030;ATTHSEPT;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Attheya;39;0;;Synoniem van Chaetoceros septentrionalis (of andersom). Wrsch meestal geteld als Chaetoceros (sp);Chaetoceros;NVT;Chaetoceros;NVT;Chaetoceros;NVT;Chaetoceros;NVT;Attheya septentrionalis;NVT;663;;50
160;Aulacodiscus argus;5231302010;AUDIARGU;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Aulacodiscus;40;0;benthische soort;;Aulacodiscus argus;NVT;Aulacodiscus argus;NVT;Aulacodiscus argus;NVT;Aulacodiscus argus;NVT;Aulacodiscus argus;NVT;883573;;50
152;Aulacoseira;5231116000;AUSESPEC;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Aulacoseira;41;0;zoetwatersoort;;Aulacoseira;NVT;Aulacoseira;NVT;Aulacoseira;NVT;Aulacoseira;NVT;Aulacoseira;NVT;424;;50
116;Aulacoseira ambigua;5231106010;AUSEAMBI;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Aulacoseira;42;0;zoetwatersoort;;Aulacoseira;NVT;Aulacoseira;NVT;Aulacoseira;NVT;Aulacoseira;NVT;Aulacoseira ambigua;NVT;1005;;50
118;Aulacoseira granulata;5231106070;AUSEGRAN;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Aulacoseira;43;0;zoetwatersoort;Bovengenoemde 3 taxa worden in 2a) en 4) als Aulacoseira geteld, samenvoegen als Aulacoseira;Aulacoseira;NVT;Aulacoseira;NVT;Aulacoseira;NVT;Aulacoseira;NVT;Aulacoseira granulata;NVT;424;;50
153;Aulacoseira granulata;5231116070;AUSEGRAN;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Aulacoseira;43;0;zoetwatersoort;Bovengenoemde 3 taxa worden in 2a) en 4) als Aulacoseira geteld, samenvoegen als Aulacoseira;Aulacoseira;NVT;Aulacoseira;NVT;Aulacoseira;NVT;Aulacoseira;NVT;Aulacoseira granulata;NVT;424;;50
161;Auliscus sculptus;5231303010;AULISCUL;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Auliscus;44;0;benthische soort;;Auliscus sculptus;NVT;Auliscus sculptus;NVT;Auliscus sculptus;NVT;Auliscus sculptus;NVT;Auliscus sculptus;NVT;56549;;50
332;Bacillaria;5232601000;BALASPEC;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Bacillaria;45;0;;Er is maar 1 soort, nl Bacillaria paxillifer;Bacillaria paxillifer;NVT;Bacillaria paxillifer;NVT;Bacillaria paxillifer;NVT;Bacillaria paxillifer;NVT;Bacillaria;NVT;1571;;50
333;Bacillaria paxillifer;5232601010;BALAPAXI;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Bacillaria;46;1;;;Bacillaria paxillifer;NVT;Bacillaria paxillifer;NVT;Bacillaria paxillifer;NVT;Bacillaria paxillifer;NVT;Bacillaria paxillifer;NVT;1571;;50
188;Bacteriastrum;5231501000;BAASSPEC;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Bacteriastrum;47;0;;;Bacteriastrum;NVT;Bacteriastrum;NVT;Bacteriastrum;NVT;Bacteriastrum;NVT;Bacteriastrum;NVT;785;;50
190;Bacteriastrum delicatulum;5231501030;BAASDELI;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Bacteriastrum;48;0;;;Bacteriastrum;NVT;Bacteriastrum;NVT;Bacteriastrum;NVT;Bacteriastrum;NVT;Bacteriastrum delicatulum;NVT;785;;50
189;Bacteriastrum hyalinum;5231501010;BAASHYAL;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Bacteriastrum;49;1;kust en estuarien;aan het voorkomen van B. delicatulum moet ernstig getwijfeld worden. Bovenstaande 3 taxa samenvoegen onder B. hyalinum;Bacteriastrum;NVT;Bacteriastrum;NVT;Bacteriastrum;NVT;Bacteriastrum;NVT;Bacteriastrum hyalinum;NVT;393;;50
237;Bellerochea malleus;5231602010;BELLMALL;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Bellerochea;50;1;kust en estuarien;"Goed herkenbare soort, kan toegevoegd worden aan groep ""geel"". Afwijkingen zijn wrsh echt.";Bellerochea malleus;NVT;Bellerochea malleus;NVT;Bellerochea malleus;NVT;Bellerochea malleus;NVT;Bellerochea malleus;NVT;202500;;50
501;Boreadinium pisiforme;5252715010;BOADPISI;NVT;Niet van toepassing;;;;heterotroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Boreadinium;51;0;;"Slechts zelden te determineren, meestal geteld als peridiniaceae of diplopsalis gr; 24/11: naar Dinophyceae verhuizen.";Dinophyceae;DU010030;Peridiniaceae;DU010030;Peridiniaceae;DU010030;Peridiniaceae;DU010030;Boreadinium pisiforme;NVT;4189;;50
20;Botryococcaceae;5114800000;BOTRYOAE;NVT;Niet van toepassing;;;;fototroof;;Overig;Chlorophyta;Chlorophyceae;Botryococcaceae;52;0;zoetwatersoort;24/11: weglaten, niet consequent geteld.;weglaten;NVT;Chlorophyceae;NVT;Chlorophyceae;NVT;Chlorophyceae;NVT;Botryococcaceae;NVT;29;;50
21;Botryococcus;5114801000;BOOCSPEC;NVT;Niet van toepassing;;;;fototroof;;Overig;Chlorophyta;Chlorophyceae;Botryococcus;53;0;zoetwatersoort;"In 1), 2b) en 4) geteld als Chlorophyceae; 24/11: weglaten, niet consequent geteld.";weglaten;NVT;Chlorophyceae;NVT;Chlorophyceae;NVT;Chlorophyceae;NVT;Botryococcus;NVT;29;;50
552;Braarudosphaera bigelowii;5313101010;BRAABIGE;NVT;Niet van toepassing;;;;fototroof;Flagellaten;Overig;Prymesiophyta;Prymnesiophyceae;Braarudosphaera;54;0;off-shore;"coccolithoforen kunnen niet betrouwbaar geteld worden in lugolmonsters, celresten geteld als Chrysomonadales; 24/11: weglaten? Misschein te veel invloed afzonderlijke telperioden.";weglaten;DU002010;Chrysomonadales;DU002010;Chrysomonadales;DU002010;Chrysomonadales;DU002010;Braarudosphaera bigelowii;NVT;4189;;50
3;Brachiomonas;5111101000;BRACSPEC;NVT;Niet van toepassing;;;;fototroof;Flagellaten;Overig;Chlorophyta;Chlorophyceae;Brachiomonas;55;0;zoetwatersoort;24/11: hier is iets mis met deze soort.;Ondetermineerbare alg;NVT;Ondetermineerbare alg;NVT;Ondetermineerbare alg;NVT;Ondetermineerbare alg;NVT;Brachiomonas;NVT;785;;50
277;Brockmanniella brockmannii;5232114010;BROCBROC;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Brockmanniella;56;0;;;Brockmanniella brockmannii;NVT;Brockmanniella brockmannii;NVT;Brockmanniella brockmannii;NVT;Brockmanniella brockmannii;NVT;Brockmanniella brockmannii;NVT;120;;50
474;Cachonina;5252705000;CACHSPEC;NVT;Niet van toepassing;;;;fototroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Cachonina;57;0;;24/11: onbetrouwbaar in 1-3), weglaten.;weglaten;NVT;Cachonina niei;NVT;Cachonina niei;NVT;Cachonina niei;NVT;Cachonina;NVT;1357;;50
475;Cachonina niei;5252705010;CACHNIEI;NVT;Niet van toepassing;;;;fototroof;Flagellaten(dino);Dinoflagellaten;Chromophyta;Dinophyceae;Cachonina;58;0;;"Er is maar 1 Cachonina, tegenwoordig heet hij Heterocapsa niei (maar in BIOTAXON nog ouderwets C. niei); 24/11: onbetrouwbaar in 1-3), weglaten.";weglaten;NVT;Cachonina niei;NVT;Cachonina niei;NVT;Cachonina niei;NVT;Cachonina niei;NVT;1357;;50
595;Calliacantha longicaudata;9000234567;CACALONG;NVT;Niet van toepassing;;;;heterotroof;Flagellaten;Overig;Sarcomastigophora;Zoomastigophora;Calliacantha;59;0;;In 2b) en 4) geteld als Craspedomonadaceae, in 1) niet geteld.;niet geteld;NVT;niet geteld;NVT;Craspedomonadaceae;NVT;Craspedomonadaceae;NVT;Calliacantha longicaudata;NVT;65;;50
88;Calycomonas;5216102000;CACOSPEC;NVT;Niet van toepassing;;;;fototroof;Flagellaten;Overig;Chromophyta;Chrysophyceae;Calycomonas;60;0;;In 1) niet geteld, in 2b) als bol indet, in 4) als Paulinella;niet geteld;NVT;niet geteld;NVT;Ondetermineerbare alg;DUK3;Paulinella;NVT;Calycomonas;NVT;80;;50
357;Campylodiscus;5232701000;CADISPEC;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Campylodiscus;61;0;;;Pennales;BLU4;Pennales;BLU4;Pennales;BLU4;Pennales;BLU4;Campylodiscus;NVT;10603;;50
358;Campylodiscus fastuosus;5232701040;CADIFAST;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Campylodiscus;62;0;;;Pennales;BLU4;Pennales;BLU4;Pennales;BLU4;Pennales;BLU4;Campylodiscus fastuosus;NVT;10603;;50
293;Campylosira cymbelliformis;5232130010;CASICYMB;NVT;Niet van toepassing;;;;fototroof;Diatomeeen;Diatomeeen;Chromophyta;Bacillariophyceae;Campylosira;63;0;kust en estuarien;Alleen in 4). Wrsch. zijn eerdere waarn onder Brockmanniella brockmannii geteld;Brockmanniella brockmannii;NVT;Brockmanniella brockmannii;NVT;Brockmanniella brockmannii;NVT;Brockmanniella brockmannii;NVT;Campylosira cymbelliformis;NVT;120;;50
4;Carteria;5111102000;CARTSPEC;NVT;Niet van toepassing;;;;fototroof;Flagellaten;Overig;Chlorophyta;Chlorophyceae;Carteria;64;0;zoetwatersoort;"In 1), 2b) en 4) geteld als Chlorophyceae, maar misschien soms ook als Pyramimonas; 24/11: weglaten, niet consequent geteld.";weglaten;NVT;Chlorophyceae;NVT;Chlorophyceae;NVT;Chlorophyceae;NVT;Carteria;NVT;884;;50
5;Carteria cordiformis;5111102020;CARTCORD;NVT;Niet van toepassing;;;;fototroof;Flagellaten;Overig;Chlorophyta;Chlorophyceae;Carteria;65;0;zoetwatersoort;"In 1), 2b) en 4) geteld als Chlorophyceae, maar misschien soms ook als Pyramimonas; 24/11: weglaten, niet consequent geteld.";weglaten;NVT;Chlorophyceae;NVT;Chlorophyceae;NVT;Chlorophyceae;NVT;Carteria cordiformis;NVT;884;;50
