speciesname_original;modified;speciesname_corrected;AphiaID;Match type;LSID;TSN;ScientificName;Authority;Qualitystatus;Taxon status;AphiaID_accepted;ScientificName_accepted;Authority_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species;Subspecies;isMarine;isBrackish;isFresh;isTerrestrial;Citation;;;;;;;;;;;;;;;;;;;;;
Cryptophyceae;;Cryptophyceae;17639;exact;urn:lsid:marinespecies.org:taxname:17639;10598;Cryptophyceae;Fritsch, 1927;Checked by Taxonomic Editor;accepted;17639;Cryptophyceae;Fritsch, 1927;Chromista;Cryptophyta;Cryptophyceae;;;;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Cryptophyceae. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=17639 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Coscinodiscus rothii;;Coscinodiscus rothii;162761;exact;urn:lsid:marinespecies.org:taxname:162761;2581;Coscinodiscus rothii;(Ehrenberg) Grunow;Edited by Database Management Team;accepted;162761;Coscinodiscus rothii;(Ehrenberg) Grunow;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;;rothii;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Coscinodiscus rothii (Ehrenberg) Grunow. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=162761 on 2019-01-31;;
Protoperidinium brevipes;;Protoperidinium brevipes;110210;exact;urn:lsid:marinespecies.org:taxname:110210;10215;Protoperidinium brevipes;(Paulsen, 1908) Balech, 1974;Checked by Taxonomic Editor;accepted;110210;Protoperidinium brevipes;(Paulsen, 1908) Balech, 1974;Chromista;Myzozoa;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;;brevipes;;1;;;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Protoperidinium brevipes (Paulsen, 1908) Balech, 1974. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110210 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Pseudo-nitzschia seriata;;Pseudo-nitzschia seriata;149152;exact;urn:lsid:marinespecies.org:taxname:149152;615879;Pseudo-nitzschia seriata;(Cleve) H.Peragallo, 1899;Checked by Taxonomic Editor;accepted;149152;Pseudo-nitzschia seriata;(Cleve) H.Peragallo, 1899;Chromista;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;;seriata;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Pseudo-nitzschia seriata (Cleve) H.Peragallo, 1899. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149152 on 2019-01-31;;
Scrippsiella trochoidea;;Scrippsiella trochoidea;110172;exact;urn:lsid:marinespecies.org:taxname:110172;10537;Scrippsiella trochoidea;(Stein) Loeblich III, 1976;Checked by Taxonomic Editor;accepted;110172;Scrippsiella trochoidea;(Stein) Loeblich III, 1976;Chromista;Myzozoa;Dinophyceae;Peridiniales;Peridiniaceae;Scrippsiella;;trochoidea;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Scrippsiella trochoidea (Stein) Loeblich III, 1976. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110172 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Thalassiosira decipiens;;Thalassiosira decipiens;148919;exact;urn:lsid:marinespecies.org:taxname:148919;2489;Thalassiosira decipiens;(Grunow) E.G.Jørgensen, 1905;Edited by Database Management Team;accepted;148919;Thalassiosira decipiens;(Grunow) E.G.Jørgensen, 1905;Chromista;Ochrophyta;Bacillariophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;;decipiens;;1;0;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Thalassiosira decipiens (Grunow) E.G.Jørgensen, 1905. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148919 on 2019-01-31;;
Coscinodiscus granii;;Coscinodiscus granii;149271;exact;urn:lsid:marinespecies.org:taxname:149271;2557;Coscinodiscus granii;Gough, 1905;Edited by Database Management Team;accepted;149271;Coscinodiscus granii;Gough, 1905;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;;granii;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Coscinodiscus granii Gough, 1905. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149271 on 2019-01-31;;
Gymnodinium;;Gymnodinium;109475;exact;urn:lsid:marinespecies.org:taxname:109475;10031;Gymnodinium;Stein, 1878;Checked by Taxonomic Editor;accepted;109475;Gymnodinium;Stein, 1878;Chromista;Myzozoa;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;;;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Gymnodinium Stein, 1878. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=109475 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Coscinodiscus;;Coscinodiscus;148917;exact;urn:lsid:marinespecies.org:taxname:148917;2546;Coscinodiscus;C.G. Ehrenberg, 1839;Edited by Database Management Team;accepted;148917;Coscinodiscus;C.G. Ehrenberg, 1839;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;;;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Coscinodiscus C.G. Ehrenberg, 1839. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148917 on 2019-01-31;;
Thalassiosira levanderi;;Thalassiosira levanderi;149308;exact;urn:lsid:marinespecies.org:taxname:149308;2529;Thalassiosira levanderi;van Goor, 1924;Edited by Database Management Team;uncertain;149308;Thalassiosira levanderi;van Goor, 1924;Chromista;Ochrophyta;Bacillariophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;;levanderi;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Thalassiosira levanderi van Goor, 1924. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149308 on 2019-01-31;;
Melosira;;Melosira;149042;exact;urn:lsid:marinespecies.org:taxname:149042;2290;Melosira;C.A. Agardh, 1824;Checked by Taxonomic Editor;accepted;149042;Melosira;C.A. Agardh, 1824;Chromista;Ochrophyta;Bacillariophyceae;Melosirales;Melosiraceae;Melosira;;;;1;1;1;1;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Melosira C.A. Agardh, 1824. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149042 on 2019-01-31;;
Chaetoceros socialis;;Chaetoceros socialis;149123;exact;urn:lsid:marinespecies.org:taxname:149123;2827;Chaetoceros socialis;H.S.Lauder, 1864;Edited by Database Management Team;accepted;149123;Chaetoceros socialis;H.S.Lauder, 1864;Chromista;Ochrophyta;Bacillariophyceae;Chaetocerotanae incertae sedis;Chaetocerotaceae;Chaetoceros;;socialis;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Chaetoceros socialis H.S.Lauder, 1864. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149123 on 2019-01-31;;
Bellerochea malleus;;Bellerochea malleus;149306;exact;urn:lsid:marinespecies.org:taxname:149306;2726;Bellerochea malleus;(Brightwell) Van Heurck, 1885;Edited by Database Management Team;uncertain;149306;Bellerochea malleus;(Brightwell) Van Heurck, 1885;Chromista;Ochrophyta;Bacillariophyceae;Hemiaulales;Bellerocheaceae;Bellerochea;;malleus;;1;;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Bellerochea malleus (Brightwell) Van Heurck, 1885. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149306 on 2019-01-31;;
Thalassiosira leptopa;;Thalassiosira leptopa;149103;near_2;urn:lsid:marinespecies.org:taxname:149103;2524;Thalassiosira leptopus;(Grunow ex Van Heurck) Hasle & G.Fryxell, 1977;Edited by Database Management Team;uncertain;149103;Thalassiosira leptopus;(Grunow ex Van Heurck) Hasle & G.Fryxell, 1977;Chromista;Ochrophyta;Bacillariophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;;leptopus;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Thalassiosira leptopus (Grunow ex Van Heurck) Hasle & G.Fryxell, 1977. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149103 on 2019-01-31;;
Prorocentrum balticum;;Prorocentrum balticum;110293;exact;urn:lsid:marinespecies.org:taxname:110293;9888;Prorocentrum balticum;(Lohmann) Loeblich, 1970;Checked by Taxonomic Editor;accepted;110293;Prorocentrum balticum;(Lohmann) Loeblich, 1970;Chromista;Myzozoa;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;;balticum;;1;;0;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Prorocentrum balticum (Lohmann) Loeblich, 1970. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110293 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Protoperidinium marielebouriae;;Protoperidinium marielebouriae;614620;exact;urn:lsid:marinespecies.org:taxname:614620;;Protoperidinium marie-lebouriae;(Paulsen, 1931) Balech, 1974;Checked by Taxonomic Editor;accepted;614620;Protoperidinium marie-lebouriae;(Paulsen, 1931) Balech, 1974;Chromista;Myzozoa;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;;marie-lebouriae;;1;;;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Protoperidinium marie-lebouriae (Paulsen, 1931) Balech, 1974. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=614620 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Coscinodiscus wailesii;;Coscinodiscus wailesii;156632;exact;urn:lsid:marinespecies.org:taxname:156632;2571;Coscinodiscus wailesii;Gran & Angst, 1931;Edited by Database Management Team;uncertain;156632;Coscinodiscus wailesii;Gran & Angst, 1931;Chromista;Ochrophyta;Bacillariophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;;wailesii;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Coscinodiscus wailesii Gran & Angst, 1931. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=156632 on 2019-01-31;;
Prorocentrum;;Prorocentrum;109566;exact;urn:lsid:marinespecies.org:taxname:109566;9877;Prorocentrum;Ehrenberg, 1834;Checked by Taxonomic Editor;accepted;109566;Prorocentrum;Ehrenberg, 1834;Chromista;Myzozoa;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;;;;1;;;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Prorocentrum Ehrenberg, 1834. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=109566 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Cachonina niei;;Cachonina niei;110128;exact;urn:lsid:marinespecies.org:taxname:110128;10204;Cachonina niei;Loeblich III, 1968;Checked by Taxonomic Editor;unaccepted;233620;Heterocapsa niei;(Loeblich III) Morrill & Loeblich III, 1981;Chromista;Myzozoa;Dinophyceae;Peridiniales;Peridiniaceae;Cachonina;;niei;;1;;;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Cachonina niei Loeblich III, 1968. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=110128 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Emiliania huxleyi;;Emiliania huxleyi;115104;exact;urn:lsid:marinespecies.org:taxname:115104;2251;Emiliania huxleyi;(Lohmann) W.W.Hay & H.P.Mohler, 1967;Checked by Taxonomic Editor;accepted;115104;Emiliania huxleyi;(Lohmann) W.W.Hay & H.P.Mohler, 1967;Chromista;Haptophyta;Prymnesiophyceae;Isochrysidales;Noelaerhabdaceae;Emiliania;;huxleyi;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Emiliania huxleyi (Lohmann) W.W.Hay & H.P.Mohler, 1967. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=115104 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Cyclotella striata;;Cyclotella striata;148911;exact;urn:lsid:marinespecies.org:taxname:148911;2453;Cyclotella striata;(Kützing) Grunow, 1880;Edited by Database Management Team;accepted;148911;Cyclotella striata;(Kützing) Grunow, 1880;Chromista;Ochrophyta;Bacillariophyceae;Thalassiosirales;Stephanodiscaceae;Cyclotella;;striata;;0;0;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Cyclotella striata (Kützing) Grunow, 1880. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148911 on 2019-01-31;;
Heterocapsa rotundata;;Heterocapsa rotundata;110152;exact;urn:lsid:marinespecies.org:taxname:110152;;Heterocapsa rotundata;(Lohmann) G.Hansen, 1995;Checked by Taxonomic Editor;accepted;110152;Heterocapsa rotundata;(Lohmann) G.Hansen, 1995;Chromista;Myzozoa;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;;rotundata;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Heterocapsa rotundata (Lohmann) G.Hansen, 1995. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110152 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Thalassiosira fallax;;Thalassiosira fallax;149160;exact;urn:lsid:marinespecies.org:taxname:149160;2528;Thalassiosira fallax;Meunier, 1910;Edited by Database Management Team;uncertain;149160;Thalassiosira fallax;Meunier, 1910;Chromista;Ochrophyta;Bacillariophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;;fallax;;1;1;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Thalassiosira fallax Meunier, 1910. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149160 on 2019-01-31;;
Diplopsalis lenticula;;Diplopsalis lenticula;110001;exact;urn:lsid:marinespecies.org:taxname:110001;10171;Diplopsalis lenticula;Bergh, 1881;Checked by Taxonomic Editor;accepted;110001;Diplopsalis lenticula;Bergh, 1881;Chromista;Myzozoa;Dinophyceae;Peridiniales;Protoperidiniaceae;Diplopsalis;;lenticula;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Diplopsalis lenticula Bergh, 1881. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110001 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Gymnodinium marinum;;Gymnodinium marinum;109811;exact;urn:lsid:marinespecies.org:taxname:109811;10053;Gymnodinium marinum;Kent, 1880;Checked by Taxonomic Editor;accepted;109811;Gymnodinium marinum;Kent, 1880;Chromista;Myzozoa;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;;marinum;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Gymnodinium marinum Kent, 1880. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=109811 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Thalassiosira nordenskioeldii;;Thalassiosira nordenskioeldii;148931;exact;urn:lsid:marinespecies.org:taxname:148931;2492;Thalassiosira nordenskioeldii;Cleve, 1873;Checked by Taxonomic Editor;accepted;148931;Thalassiosira nordenskioeldii;Cleve, 1873;Chromista;Ochrophyta;Bacillariophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;;nordenskioeldii;;1;0;0;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Thalassiosira nordenskioeldii Cleve, 1873. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148931 on 2019-01-31;;
Protoceratium reticulatum;;Protoceratium reticulatum;110321;exact;urn:lsid:marinespecies.org:taxname:110321;10390;Protoceratium reticulatum;(Claparède & Lachmann) Bütschli, 1885;Checked by Taxonomic Editor;accepted;110321;Protoceratium reticulatum;(Claparède & Lachmann) Bütschli, 1885;Chromista;Myzozoa;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Protoceratium;;reticulatum;;1;;;;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Protoceratium reticulatum (Claparède & Lachmann) Bütschli, 1885. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110321 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Pseudo-nitzschia delicatissima;;Pseudo-nitzschia delicatissima;149153;exact;urn:lsid:marinespecies.org:taxname:149153;584563;Pseudo-nitzschia delicatissima;(Cleve) Heiden, 1928;Checked by Taxonomic Editor;accepted;149153;Pseudo-nitzschia delicatissima;(Cleve) Heiden, 1928;Chromista;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;;delicatissima;;1;;;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Pseudo-nitzschia delicatissima (Cleve) Heiden, 1928. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149153 on 2019-01-31;;
Skeletonema subsalsum;;Skeletonema subsalsum;149075;exact;urn:lsid:marinespecies.org:taxname:149075;2403;Skeletonema subsalsum;(Cleve-Euler) Bethge, 1928;Edited by Database Management Team;uncertain;149075;Skeletonema subsalsum;(Cleve-Euler) Bethge, 1928;Chromista;Ochrophyta;Bacillariophyceae;Thalassiosirales;Skeletonemaceae;Skeletonema;;subsalsum;;1;0;1;0;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Skeletonema subsalsum (Cleve-Euler) Bethge, 1928. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149075 on 2019-01-31;;
Achnanthes;;Achnanthes;149191;exact;urn:lsid:marinespecies.org:taxname:149191;3429;Achnanthes;Bory, 1822;Checked by Taxonomic Editor;accepted;149191;Achnanthes;Bory, 1822;Chromista;Ochrophyta;Bacillariophyceae;Achnanthales;Achnanthaceae;Achnanthes;;;;1;1;1;1;Kociolek, J.P.; Balasubramanian, K.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2019). DiatomBase. Achnanthes Bory, 1822. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149191 on 2019-01-31;;
Protoperidinium excentricum;;Protoperidinium excentricum;110220;exact;urn:lsid:marinespecies.org:taxname:110220;10226;Protoperidinium excentricum;(Paulsen, 1907) Balech, 1974;Checked by Taxonomic Editor;accepted;110220;Protoperidinium excentricum;(Paulsen, 1907) Balech, 1974;Chromista;Myzozoa;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;;excentricum;;1;;;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Protoperidinium excentricum (Paulsen, 1907) Balech, 1974. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=110220 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
Gymnodinium simplex;;Gymnodinium simplex;109831;exact;urn:lsid:marinespecies.org:taxname:109831;10036;Gymnodinium simplex;(Lohmann) Kofoid & Swezy, 1921;Checked by Taxonomic Editor;accepted;109831;Gymnodinium simplex;(Lohmann) Kofoid & Swezy, 1921;Chromista;Myzozoa;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;;simplex;;1;;;0;Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Gymnodinium simplex (Lohmann) Kofoid & Swezy, 1921. Accessed through: World Register of Marine Species at: http://marinespecies.org/aphia.php?p=taxdetails&id=109831 on 2019-01-31;;;;;;;;;;;;;;;;;;;;;
