date,Sta. Rosa
2004-01-01 00:00:00,0.27678754553198787
2004-01-02 00:00:00,0.2751289159059522
2004-01-03 00:00:00,0.2734802924096582
2004-01-04 00:00:00,0.2718415446579453
2004-01-05 00:00:00,0.2702126093208788
2004-01-06 00:00:00,0.2691082283854483
2004-01-07 00:00:00,0.2677793242037293
2004-01-08 00:00:00,0.2662958502769468
2004-01-09 00:00:00,0.26474520936608303
2004-01-10 00:00:00,0.2631745003163812
2004-01-11 00:00:00,0.26160262525081607
2004-01-12 00:00:00,0.2600366882979868
2004-01-13 00:00:00,0.2584789991378782
2004-01-14 00:00:00,0.2569303326308725
2004-01-15 00:00:00,0.255390867590904
2004-01-16 00:00:00,0.25386057794094063
2004-01-17 00:00:00,0.2523394562304018
2004-01-18 00:00:00,0.2508273720741269
2004-01-19 00:00:00,0.24932449683547
2004-01-20 00:00:00,0.2478305026888845
2004-01-21 00:00:00,0.24634557589888562
2004-01-22 00:00:00,0.24486945942044244
2004-01-23 00:00:00,0.24340226501226409
2004-01-24 00:00:00,0.24194386601448034
2004-01-25 00:00:00,0.2404941748827694
2004-01-26 00:00:00,0.23905313760042168
2004-01-27 00:00:00,0.2376207187771795
2004-01-28 00:00:00,0.2361969873309133
2004-01-29 00:00:00,0.23478175327181788
2004-01-30 00:00:00,0.2333749551326033
2004-01-31 00:00:00,0.2319766450673339
2004-02-01 00:00:00,0.2305867727845905
2004-02-02 00:00:00,0.22920515388250318
2004-02-03 00:00:00,0.227831847965717
2004-02-04 00:00:00,0.2264667768031357
2004-02-05 00:00:00,0.22510984353721114
2004-02-06 00:00:00,0.2237998079508541
2004-02-07 00:00:00,0.22248136810958363
2004-02-08 00:00:00,0.2211706936359403
2004-02-09 00:00:00,0.2198546603322026
2004-02-10 00:00:00,0.21854120306670632
2004-02-11 00:00:00,0.21723335050046422
2004-02-12 00:00:00,0.21593232639133908
2004-02-13 00:00:00,0.2146387528628108
2004-02-14 00:00:00,0.21335283666849122
2004-02-15 00:00:00,0.21207455359399302
2004-02-16 00:00:00,0.21080400235950916
2004-02-17 00:00:00,0.2095409538596866
2004-02-18 00:00:00,0.2082855049520729
2004-02-19 00:00:00,0.207037605345249
2004-02-20 00:00:00,0.2057971488684414
2004-02-21 00:00:00,0.2045641914010046
2004-02-22 00:00:00,0.2033386174589392
2004-02-23 00:00:00,0.20301989652216423
2004-02-24 00:00:00,0.2022781409323212
2004-02-25 00:00:00,0.2012610901147124
2004-02-26 00:00:00,0.20012856833636739
2004-02-27 00:00:00,0.1989554576575754
2004-02-28 00:00:00,0.19777231290936428
2004-02-29 00:00:00,0.19659099169075472
2004-03-01 00:00:00,0.1954145859926937
2004-03-02 00:00:00,0.19424428045749642
2004-03-03 00:00:00,0.19308071397244908
2004-03-04 00:00:00,0.1919239703565834
2004-03-05 00:00:00,0.19077413715422142
2004-03-06 00:00:00,0.18963129073381402
2004-03-07 00:00:00,0.18849594332277758
2004-03-08 00:00:00,0.1873672660440204
2004-03-09 00:00:00,0.18624503538012477
2004-03-10 00:00:00,0.1851293407380578
2004-03-11 00:00:00,0.18402031064033492
2004-03-12 00:00:00,0.18291788734495618
2004-03-13 00:00:00,0.1818220913410185
2004-03-14 00:00:00,0.1807327643036842
2004-03-15 00:00:00,0.17965005151927438
2004-03-16 00:00:00,0.17857377044856532
2004-03-17 00:00:00,0.17750399932265268
2004-03-18 00:00:00,0.1764406468719241
2004-03-19 00:00:00,0.1753835994750259
2004-03-20 00:00:00,0.1743328962475058
2004-03-21 00:00:00,0.1732885427772996
2004-03-22 00:00:00,0.1722505092620847
2004-03-23 00:00:00,0.171218544244766
2004-03-24 00:00:00,0.17019280977547138
2004-03-25 00:00:00,0.1691732835024593
2004-03-26 00:00:00,0.1681598350405691
2004-03-27 00:00:00,0.16715243645012348
2004-03-28 00:00:00,0.1661511324346063
2004-03-29 00:00:00,0.16515581868588902
2004-03-30 00:00:00,0.1641664430499074
2004-03-31 00:00:00,0.163182998076081
2004-04-01 00:00:00,0.1622054185718296
2004-04-02 00:00:00,0.161233792081475
2004-04-03 00:00:00,0.1602679286152123
2004-04-04 00:00:00,0.1593078784644602
2004-04-05 00:00:00,0.15838344953954203
2004-04-06 00:00:00,0.15750019624829267
2004-04-07 00:00:00,0.15659938193857642
2004-04-08 00:00:00,0.1556981634348628
2004-04-09 00:00:00,0.1547824088484047
2004-04-10 00:00:00,0.1538623757660387
2004-04-11 00:00:00,0.1529437713325021
2004-04-12 00:00:00,0.1520287562161682
2004-04-13 00:00:00,0.151118505746126
2004-04-14 00:00:00,0.15021347254514666
2004-04-15 00:00:00,0.14931372366845588
2004-04-16 00:00:00,0.1484193243086335
2004-04-17 00:00:00,0.1475302800536153
2004-04-18 00:00:00,0.1466474123299119
2004-04-19 00:00:00,0.14576939865946742
2004-04-20 00:00:00,0.1448964476585387
2004-04-21 00:00:00,0.1440285686403512
2004-04-22 00:00:00,0.1431658975780008
2004-04-23 00:00:00,0.14230836555361728
2004-04-24 00:00:00,0.1414559520781038
2004-04-25 00:00:00,0.1406086739152667
2004-04-26 00:00:00,0.13976642861962302
2004-04-27 00:00:00,0.13892924413084962
2004-04-28 00:00:00,0.1380970794707535
2004-04-29 00:00:00,0.1372698880732057
2004-04-30 00:00:00,0.1364476867020127
2004-05-01 00:00:00,0.1356303878128526
2004-05-02 00:00:00,0.1348180156201122
2004-05-03 00:00:00,0.1340105105191466
2004-05-04 00:00:00,0.13322639651596532
2004-05-05 00:00:00,0.1324411947280166
2004-05-06 00:00:00,0.1316542048007246
