date,Mangahan
2004-01-01 00:00:00,0.2813932485878481
2004-01-02 00:00:00,0.2797084935009462
2004-01-03 00:00:00,0.2780312094837414
2004-01-04 00:00:00,0.2763657085597515
2004-01-05 00:00:00,0.2747117150574936
2004-01-06 00:00:00,0.2737349104136313
2004-01-07 00:00:00,0.2724133227020431
2004-01-08 00:00:00,0.27088826522231146
2004-01-09 00:00:00,0.2692975923419003
2004-01-10 00:00:00,0.26769373565912336
2004-01-11 00:00:00,0.2660941388458067
2004-01-12 00:00:00,0.264501418918373
2004-01-13 00:00:00,0.2629149015992862
2004-01-14 00:00:00,0.2613441403955221
2004-01-15 00:00:00,0.2597788851708165
2004-01-16 00:00:00,0.25822317041456744
2004-01-17 00:00:00,0.2566743809729859
2004-01-18 00:00:00,0.25513750687241554
2004-01-19 00:00:00,0.2536089774221213
2004-01-20 00:00:00,0.2520909365266579
2004-01-21 00:00:00,0.2505793143063797
2004-01-22 00:00:00,0.249076008796691
2004-01-23 00:00:00,0.2475874591618763
2004-01-24 00:00:00,0.24610555917024612
2004-01-25 00:00:00,0.24463124759494903
2004-01-26 00:00:00,0.24316691048442962
2004-01-27 00:00:00,0.2417122926563029
2004-01-28 00:00:00,0.24026501923799382
2004-01-29 00:00:00,0.23882650211453038
2004-01-30 00:00:00,0.23739721812308368
2004-01-31 00:00:00,0.23597430437803757
2004-02-01 00:00:00,0.23456037417053688
2004-02-02 00:00:00,0.2331551816314512
2004-02-03 00:00:00,0.23175658099353003
2004-02-04 00:00:00,0.23036909848452325
2004-02-05 00:00:00,0.2289893813431192
2004-02-06 00:00:00,0.22761910781264483
2004-02-07 00:00:00,0.226258013397457
2004-02-08 00:00:00,0.22492580302059917
2004-02-09 00:00:00,0.2236320432275476
2004-02-10 00:00:00,0.22230996564030647
2004-02-11 00:00:00,0.22098285332321588
2004-02-12 00:00:00,0.2196612227708079
2004-02-13 00:00:00,0.21834752708673255
2004-02-14 00:00:00,0.2170417848974413
2004-02-15 00:00:00,0.21574161946773485
2004-02-16 00:00:00,0.21444821171462225
2004-02-17 00:00:00,0.2131629977375189
2004-02-18 00:00:00,0.2118833474814843
2004-02-19 00:00:00,0.21062116138637155
2004-02-20 00:00:00,0.20935833640396773
2004-02-21 00:00:00,0.20810487307608616
2004-02-22 00:00:00,0.20685654133557385
2004-02-23 00:00:00,0.20655341260135307
2004-02-24 00:00:00,0.20626411028206837
2004-02-25 00:00:00,0.20554476976395097
2004-02-26 00:00:00,0.20450376532972214
2004-02-27 00:00:00,0.20333082973956795
2004-02-28 00:00:00,0.2021302729845056
2004-02-29 00:00:00,0.2009239476174134
2004-03-01 00:00:00,0.19972129538655725
2004-03-02 00:00:00,0.19852577708661734
2004-03-03 00:00:00,0.19733717292547404
2004-03-04 00:00:00,0.19615526497364533
2004-03-05 00:00:00,0.1949812304228593
2004-03-06 00:00:00,0.19381626881659608
2004-03-07 00:00:00,0.19265392608940024
2004-03-08 00:00:00,0.1914987340569465
2004-03-09 00:00:00,0.19035259261727422
2004-03-10 00:00:00,0.1892152726650198
2004-03-11 00:00:00,0.1880822293460409
2004-03-12 00:00:00,0.1869539320468876
2004-03-13 00:00:00,0.18583705835044517
2004-03-14 00:00:00,0.1847201548516777
2004-03-15 00:00:00,0.18361323326825962
2004-03-16 00:00:00,0.1825174838304462
2004-03-17 00:00:00,0.18142741546035746
2004-03-18 00:00:00,0.18033921159804667
2004-03-19 00:00:00,0.17925716191530006
2004-03-20 00:00:00,0.17818245105445651
2004-03-21 00:00:00,0.17711651138961138
2004-03-22 00:00:00,0.17605598643422304
2004-03-23 00:00:00,0.1750075649470073
2004-03-24 00:00:00,0.17395669780671907
2004-03-25 00:00:00,0.17291170731186645
2004-03-26 00:00:00,0.17187857441604626
2004-03-27 00:00:00,0.17084702476859626
2004-03-28 00:00:00,0.1698261164128816
2004-03-29 00:00:00,0.16881346888840199
2004-03-30 00:00:00,0.16779906488954843
2004-03-31 00:00:00,0.1667960155755246
2004-04-01 00:00:00,0.16579787805675572
2004-04-02 00:00:00,0.16480022296310004
2004-04-03 00:00:00,0.16384150832890754
2004-04-04 00:00:00,0.16292565315962326
2004-04-05 00:00:00,0.16200297512113848
2004-04-06 00:00:00,0.1610540095716757
2004-04-07 00:00:00,0.16026283428072685
2004-04-08 00:00:00,0.1599103491753313
2004-04-09 00:00:00,0.1593334302306184
2004-04-10 00:00:00,0.15854688920080862
2004-04-11 00:00:00,0.15806356444954894
2004-04-12 00:00:00,0.1573515273630679
2004-04-13 00:00:00,0.1565018631517887
2004-04-14 00:00:00,0.15559829771518863
2004-04-15 00:00:00,0.1546788029372712
2004-04-16 00:00:00,0.15375715680420643
2004-04-17 00:00:00,0.15283735655247965
2004-04-18 00:00:00,0.15222266875207757
2004-04-19 00:00:00,0.1514723179861921
2004-04-20 00:00:00,0.15063186921178917
2004-04-21 00:00:00,0.14975523948669944
2004-04-22 00:00:00,0.14886828698218224
2004-04-23 00:00:00,0.1479786867275743
2004-04-24 00:00:00,0.1470944937318528
2004-04-25 00:00:00,0.14621381089090613
2004-04-26 00:00:00,0.14534033462404694
2004-04-27 00:00:00,0.14446834009140774
2004-04-28 00:00:00,0.14360390976071602
2004-04-29 00:00:00,0.1427447665482784
2004-04-30 00:00:00,0.14188853185624017
2004-05-01 00:00:00,0.14104032237082587
2004-05-02 00:00:00,0.1401963261887429
2004-05-03 00:00:00,0.13935749232768857
2004-05-04 00:00:00,0.13853859994560525
2004-05-05 00:00:00,0.1377222342416644
2004-05-06 00:00:00,0.13690291810781408
