date,Pangil
2004-01-01 00:00:00,0.5108632305636998
2004-01-02 00:00:00,0.48790146037936133
2004-01-03 00:00:00,0.48512180428951857
2004-01-04 00:00:00,0.48192264977842475
2004-01-05 00:00:00,0.4790395721793172
2004-01-06 00:00:00,1.3293190635740753
2004-01-07 00:00:00,0.657079434953629
2004-01-08 00:00:00,0.5026492122560733
2004-01-09 00:00:00,0.480746424756943
2004-01-10 00:00:00,0.4762644302099935
2004-01-11 00:00:00,0.47338747838511985
2004-01-12 00:00:00,0.47056097118183915
2004-01-13 00:00:00,0.46774332970380744
2004-01-14 00:00:00,0.46493948576971805
2004-01-15 00:00:00,0.462151549290865
2004-01-16 00:00:00,0.4593799631111313
2004-01-17 00:00:00,0.45662526227533695
2004-01-18 00:00:00,0.45407075760886034
2004-01-19 00:00:00,0.4513819515705106
2004-01-20 00:00:00,0.44868467003107043
2004-01-21 00:00:00,0.4590215184725813
2004-01-22 00:00:00,0.4502476761117571
2004-01-23 00:00:00,0.4482214632444072
2004-01-24 00:00:00,0.44658089382573884
2004-01-25 00:00:00,0.44412987399846204
2004-01-26 00:00:00,0.44150002859532733
2004-01-27 00:00:00,0.43885781336575674
2004-01-28 00:00:00,0.4383557033725077
2004-01-29 00:00:00,0.43606361933052445
2004-01-30 00:00:00,0.43349235923960683
2004-01-31 00:00:00,0.43119175639003426
2004-02-01 00:00:00,0.4286603527143592
2004-02-02 00:00:00,0.4260974051430813
2004-02-03 00:00:00,0.4235434122383587
2004-02-04 00:00:00,0.4210036550648503
2004-02-05 00:00:00,0.41847894946113146
2004-02-06 00:00:00,0.42935225740074984
2004-02-07 00:00:00,0.42233552783727546
2004-02-08 00:00:00,0.4191639856435355
2004-02-09 00:00:00,0.41659106872975693
2004-02-10 00:00:00,0.4161179219372559
2004-02-11 00:00:00,0.4159770570695389
2004-02-12 00:00:00,0.4137330274097613
2004-02-13 00:00:00,0.4112829980440429
2004-02-14 00:00:00,0.4088208791799831
2004-02-15 00:00:00,0.4063724223524324
2004-02-16 00:00:00,0.4039359968155615
2004-02-17 00:00:00,0.4015138642862435
2004-02-18 00:00:00,0.399108421057462
2004-02-19 00:00:00,0.39671563589945374
2004-02-20 00:00:00,0.39436529576778273
2004-02-21 00:00:00,0.3920058039948336
2004-02-22 00:00:00,0.3898750124499195
2004-02-23 00:00:00,0.8851270838640619
2004-02-24 00:00:00,0.49925759714096707
2004-02-25 00:00:00,0.4061542097479096
2004-02-26 00:00:00,0.39141528867185027
2004-02-27 00:00:00,0.3876852067187421
2004-02-28 00:00:00,0.38521418813616004
2004-02-29 00:00:00,0.3828876409679641
2004-03-01 00:00:00,0.38058945955708506
2004-03-02 00:00:00,0.37830659328028526
2004-03-03 00:00:00,0.3760378663428117
2004-03-04 00:00:00,0.37427629576995897
2004-03-05 00:00:00,0.3721250337548546
2004-03-06 00:00:00,0.37026049662381283
2004-03-07 00:00:00,0.36893321108072874
2004-03-08 00:00:00,0.3668931266292922
2004-03-09 00:00:00,0.3647197601385405
2004-03-10 00:00:00,0.3625389817170791
2004-03-11 00:00:00,0.36036632210016184
2004-03-12 00:00:00,0.358205445110797
2004-03-13 00:00:00,0.35606623999774384
2004-03-14 00:00:00,0.3539365851320317
2004-03-15 00:00:00,0.351815313566475
2004-03-16 00:00:00,0.34972567204385924
2004-03-17 00:00:00,0.34763231920078347
2004-03-18 00:00:00,0.34554856363683867
2004-03-19 00:00:00,0.34347638860344776
2004-03-20 00:00:00,0.34141686977818575
2004-03-21 00:00:00,0.3393693892285222
2004-03-22 00:00:00,0.3373371837660665
2004-03-23 00:00:00,0.33531485218554624
2004-03-24 00:00:00,0.3333105794154103
2004-03-25 00:00:00,0.33131304057314914
2004-03-26 00:00:00,0.3293265672400588
2004-03-27 00:00:00,0.3273516152985385
2004-03-28 00:00:00,0.32538849348202264
2004-03-29 00:00:00,0.32343730982392904
2004-03-30 00:00:00,0.32149775233119654
2004-03-31 00:00:00,0.31956989923491946
2004-04-01 00:00:00,0.31765360664576264
2004-04-02 00:00:00,0.3157487455755467
2004-04-03 00:00:00,0.31385540310293314
2004-04-04 00:00:00,0.31199422292411266
2004-04-05 00:00:00,0.3101276662200678
2004-04-06 00:00:00,0.30828603589907194
2004-04-07 00:00:00,0.30644895974546543
2004-04-08 00:00:00,0.30463405558839385
2004-04-09 00:00:00,0.302812591660767
2004-04-10 00:00:00,0.3009980353526762
2004-04-11 00:00:00,0.29919769288971954
2004-04-12 00:00:00,0.29740455979481306
2004-04-13 00:00:00,0.29562140675261517
2004-04-14 00:00:00,0.29384880932047897
2004-04-15 00:00:00,0.29208664549514557
2004-04-16 00:00:00,0.29033523239195225
2004-04-17 00:00:00,0.2885942850261924
2004-04-18 00:00:00,0.28687182581052084
2004-04-19 00:00:00,0.2851531831547607
2004-04-20 00:00:00,0.2834436921402801
2004-04-21 00:00:00,0.28174403449520374
2004-04-22 00:00:00,0.2800546195358035
2004-04-23 00:00:00,0.2783752912655463
2004-04-24 00:00:00,0.2767059956677253
2004-04-25 00:00:00,0.2750467984005801
2004-04-26 00:00:00,0.2733980608172711
2004-04-27 00:00:00,0.2717586099170141
2004-04-28 00:00:00,0.2701304554939259
2004-04-29 00:00:00,0.26851094281300886
2004-04-30 00:00:00,0.26690074941143316
2004-05-01 00:00:00,0.26531662978231824
2004-05-02 00:00:00,0.2637309036217619
2004-05-03 00:00:00,0.2621607081964611
2004-05-04 00:00:00,0.26059240242466264
2004-05-05 00:00:00,0.25903071928769245
2004-05-06 00:00:00,0.25747952423989684
