date,Sta. Maria
2004-01-01 00:00:00,1.5467215031385366
2004-01-02 00:00:00,1.5170699991285703
2004-01-03 00:00:00,1.5057137701660346
2004-01-04 00:00:00,1.4964055176824302
2004-01-05 00:00:00,1.4874089397490013
2004-01-06 00:00:00,1.8645986896008249
2004-01-07 00:00:00,1.5981047824025136
2004-01-08 00:00:00,1.4941986724734289
2004-01-09 00:00:00,1.4680396188050449
2004-01-10 00:00:00,1.457036884501576
2004-01-11 00:00:00,1.4480673987418335
2004-01-12 00:00:00,1.4393640197813453
2004-01-13 00:00:00,1.4307320918887811
2004-01-14 00:00:00,1.4221521485596826
2004-01-15 00:00:00,1.413624577224252
2004-01-16 00:00:00,1.4051476567983552
2004-01-17 00:00:00,1.396721709519624
2004-01-18 00:00:00,1.3885270636528695
2004-01-19 00:00:00,1.380249194800845
2004-01-20 00:00:00,1.3719860799610537
2004-01-21 00:00:00,1.3852689433842835
2004-01-22 00:00:00,1.3648728001862733
2004-01-23 00:00:00,1.3590189330279803
2004-01-24 00:00:00,1.3484978768974454
2004-01-25 00:00:00,1.3386763762682676
2004-01-26 00:00:00,1.330184567719692
2004-01-27 00:00:00,1.3221263308077982
2004-01-28 00:00:00,1.3183335028588705
2004-01-29 00:00:00,1.3089290522038906
2004-01-30 00:00:00,1.3004303723573682
2004-01-31 00:00:00,1.2927010543644422
2004-02-01 00:00:00,1.2849848214536845
2004-02-02 00:00:00,1.2772865816950787
2004-02-03 00:00:00,1.2696287967264634
2004-02-04 00:00:00,1.2620157189667205
2004-02-05 00:00:00,1.2544483952224177
2004-02-06 00:00:00,1.2633645441383052
2004-02-07 00:00:00,1.2464009486138745
2004-02-08 00:00:00,1.2362186182290296
2004-02-09 00:00:00,1.228388024494048
2004-02-10 00:00:00,1.2210823018103811
2004-02-11 00:00:00,1.2139940261840754
2004-02-12 00:00:00,1.2067753002047503
2004-02-13 00:00:00,1.1995507273822952
2004-02-14 00:00:00,1.192360684275622
2004-02-15 00:00:00,1.1852145809680183
2004-02-16 00:00:00,1.1781084630638272
2004-02-17 00:00:00,1.1710441913455696
2004-02-18 00:00:00,1.1640232782810926
2004-02-19 00:00:00,1.1570432689040804
2004-02-20 00:00:00,1.1501460466533864
2004-02-21 00:00:00,1.1432609781622807
2004-02-22 00:00:00,1.1366433203220292
2004-02-23 00:00:00,1.4633571635931646
2004-02-24 00:00:00,1.3037884850054884
2004-02-25 00:00:00,1.164466314017763
2004-02-26 00:00:00,1.1290582306683046
2004-02-27 00:00:00,1.1181674879044263
2004-02-28 00:00:00,1.1109801996499293
2004-02-29 00:00:00,1.104268914088606
2004-03-01 00:00:00,1.0976431556046007
2004-03-02 00:00:00,1.0910606626421206
2004-03-03 00:00:00,1.084518168121576
2004-03-04 00:00:00,1.0780617874115703
2004-03-05 00:00:00,1.071608398109674
2004-03-06 00:00:00,1.065237913280725
2004-03-07 00:00:00,1.058951428160071
2004-03-08 00:00:00,1.0526269376277924
2004-03-09 00:00:00,1.0463214535266154
2004-03-10 00:00:00,1.0400505587458606
2004-03-11 00:00:00,1.0338159278035162
2004-03-12 00:00:00,1.0276169199496499
2004-03-13 00:00:00,1.02145823650062
2004-03-14 00:00:00,1.0153343174606555
2004-03-15 00:00:00,1.0092468354850996
2004-03-16 00:00:00,1.0031968783587217
2004-03-17 00:00:00,0.9971822910010809
2004-03-18 00:00:00,0.991203663870692
2004-03-19 00:00:00,0.9852601829916235
2004-03-20 00:00:00,0.9793529696762554
2004-03-21 00:00:00,0.9734810087829818
2004-03-22 00:00:00,0.9676476642489428
2004-03-23 00:00:00,0.9618478678166864
2004-03-24 00:00:00,0.9560815393924708
2004-03-25 00:00:00,0.950348854064941
2004-03-26 00:00:00,0.9446503613144154
2004-03-27 00:00:00,0.9389869943261137
2004-03-28 00:00:00,0.9333571624010791
2004-03-29 00:00:00,0.9277609158307307
2004-03-30 00:00:00,0.9221982527524223
2004-03-31 00:00:00,0.9166691005229941
2004-04-01 00:00:00,0.9111732114106416
2004-04-02 00:00:00,0.9057094957679507
2004-04-03 00:00:00,0.9002795778214924
2004-04-04 00:00:00,0.8949488941580047
2004-04-05 00:00:00,0.8896042294800274
2004-04-06 00:00:00,0.8842954654246566
2004-04-07 00:00:00,0.8790175039321179
2004-04-08 00:00:00,0.8738117832690466
2004-04-09 00:00:00,0.8685960508882993
2004-04-10 00:00:00,0.8633943758904927
2004-04-11 00:00:00,0.8582373019307843
2004-04-12 00:00:00,0.8530971463769671
2004-04-13 00:00:00,0.8479837477207182
2004-04-14 00:00:00,0.8429004028439515
2004-04-15 00:00:00,0.8378464411944151
2004-04-16 00:00:00,0.8328234143555155
2004-04-17 00:00:00,0.8278298135846848
2004-04-18 00:00:00,0.8228988293558354
2004-04-19 00:00:00,0.8179756030440325
2004-04-20 00:00:00,0.8130744714289899
2004-04-21 00:00:00,0.8082001209259024
2004-04-22 00:00:00,0.8033547326922413
2004-04-23 00:00:00,0.7985380440950383
2004-04-24 00:00:00,0.7937508551403873
2004-04-25 00:00:00,0.7889923285692924
2004-04-26 00:00:00,0.7842614185065024
2004-04-27 00:00:00,0.779559716582298
2004-04-28 00:00:00,0.774887530133128
2004-04-29 00:00:00,0.7702426649630061
2004-04-30 00:00:00,0.7656245781108733
2004-05-01 00:00:00,0.7610451634973279
2004-05-02 00:00:00,0.7564857238903635
2004-05-03 00:00:00,0.7519534183666103
2004-05-04 00:00:00,0.7474470287561414
2004-05-05 00:00:00,0.742967035621404
2004-05-06 00:00:00,0.7385126007720825
