Station;RefDepth;Parameter;Value;Unit;QualityFlag;datetime;Value_mg
W02;3 m;NTOT;24;umol/l;Acceptable;2014-07-08T19:07:00Z;0.3361608
W02;3 m;NTRI;0.41;umol/l;Acceptable;2014-07-08T19:07:00Z;0.0057427469999999994
W02;3 m;NTRZ;2.53;umol/l;Acceptable;2014-07-08T19:07:00Z;0.035436951
W02;3 m;PHOS;0.94;umol/l;Acceptable;2014-07-08T19:07:00Z;0.029115336279999997
W02;3 m;PTOT;1.31;umol/l;Acceptable;2014-07-08T19:07:00Z;0.04057562822000001
W02;3 m;SLCA;9.5;umol/l;Acceptable;2014-07-08T19:07:00Z;0.26681225000000003
W01;3 m;AMON;9.6;umol/l;Acceptable;2014-07-11T07:42:00Z;0.13446432
W01;3 m;NTOT;50;umol/l;Acceptable;2014-07-11T07:42:00Z;0.700335
W01;3 m;NTRI;0.44;umol/l;Acceptable;2014-07-11T07:42:00Z;0.006162948
W01;3 m;NTRZ;5.8;umol/l;Acceptable;2014-07-11T07:42:00Z;0.08123886
W01;3 m;PHOS;0.94;umol/l;Acceptable;2014-07-11T07:42:00Z;0.029115336279999997
W01;3 m;PTOT;1.4;umol/l;Acceptable;2014-07-11T07:42:00Z;0.0433632668
W01;3 m;SLCA;6.9;umol/l;Acceptable;2014-07-11T07:42:00Z;0.19378995000000002
