Station;RefDepth;Parameter;Value;Unit;QualityFlag;datetime;Value_mg
W10;3 m;NTRI;0.105;umol/l;Acceptable;2014-02-24T20:17:00Z;0.0014707035
W10;3 m;NTRZ;10.3;umol/l;Acceptable;2014-02-24T20:17:00Z;0.14426901
W10;3 m;PHOS;0.33;umol/l;Acceptable;2014-02-24T20:17:00Z;0.010221341460000002
W10;3 m;PTOT;0.73;umol/l;Acceptable;2014-02-24T20:17:00Z;0.022610846259999998
W10;3 m;SLCA;4.5;umol/l;Acceptable;2014-02-24T20:17:00Z;0.12638475
W02;3 m;AMON;2.6;umol/l;Acceptable;2014-02-25T17:07:00Z;0.03641742
W02;3 m;NTOT;40;umol/l;Acceptable;2014-02-25T17:07:00Z;0.560268
W02;3 m;NTRI;0.41;umol/l;Acceptable;2014-02-25T17:07:00Z;0.0057427469999999994
W02;3 m;NTRZ;33;umol/l;Acceptable;2014-02-25T17:07:00Z;0.46222110000000005
W02;3 m;PHOS;0.7;umol/l;Acceptable;2014-02-25T17:07:00Z;0.0216816334
W02;3 m;PTOT;0.93;umol/l;Acceptable;2014-02-25T17:07:00Z;0.02880559866
W02;3 m;SLCA;15;umol/l;Acceptable;2014-02-25T17:07:00Z;0.42128249999999995
W03;3 m;AMON;2.5;umol/l;Acceptable;2014-02-25T18:07:00Z;0.03501675
W03;3 m;NTOT;44;umol/l;Acceptable;2014-02-25T18:07:00Z;0.6162948
W03;3 m;NTRI;0.31;umol/l;Acceptable;2014-02-25T18:07:00Z;0.004342077
W03;3 m;NTRZ;35;umol/l;Acceptable;2014-02-25T18:07:00Z;0.4902345
W03;3 m;PHOS;0.52;umol/l;Acceptable;2014-02-25T18:07:00Z;0.01610635624
W03;3 m;PTOT;0.97;umol/l;Acceptable;2014-02-25T18:07:00Z;0.03004454914
W03;3 m;SLCA;16;umol/l;Acceptable;2014-02-25T18:07:00Z;0.449368
W08;3 m;AMON;0.23;umol/l;Acceptable;2014-02-25T21:17:00Z;0.003221541
W08;3 m;NTOT;16.4;umol/l;Acceptable;2014-02-25T21:17:00Z;0.22970988
W08;3 m;NTRI;0.129;umol/l;Acceptable;2014-02-25T21:17:00Z;0.0018068643000000001
W08;3 m;NTRZ;11.5;umol/l;Acceptable;2014-02-25T21:17:00Z;0.16107705000000003
W08;3 m;PHOS;0.45;umol/l;Acceptable;2014-02-25T21:17:00Z;0.0139381929
W08;3 m;PTOT;0.67;umol/l;Acceptable;2014-02-25T21:17:00Z;0.020752420540000004
W08;3 m;SLCA;4.9;umol/l;Acceptable;2014-02-25T21:17:00Z;0.13761895000000002
W04;3 m;AMON;1.8;umol/l;Acceptable;2014-04-01T13:55:00Z;0.02521206
W04;3 m;NTOT;29;umol/l;Acceptable;2014-04-01T13:55:00Z;0.4061943
W04;3 m;NTRI;0.175;umol/l;Acceptable;2014-04-01T13:55:00Z;0.0024511725
W04;3 m;NTRZ;18.2;umol/l;Acceptable;2014-04-01T13:55:00Z;0.25492194
W04;3 m;PHOS;0.143;umol/l;Acceptable;2014-04-01T13:55:00Z;0.004429247966
W04;3 m;PTOT;0.42;umol/l;Acceptable;2014-04-01T13:55:00Z;0.01300898004
W04;3 m;SLCA;1.32;umol/l;Acceptable;2014-04-01T13:55:00Z;0.03707286
W07;3 m;AMON;0.52;umol/l;Acceptable;2014-04-01T18:04:00Z;0.007283484000000001
W07;3 m;NTOT;18.1;umol/l;Acceptable;2014-04-01T18:04:00Z;0.25352127
W07;3 m;NTRI;0.14;umol/l;Acceptable;2014-04-01T18:04:00Z;0.001960938
W07;3 m;NTRZ;10.3;umol/l;Acceptable;2014-04-01T18:04:00Z;0.14426901
W07;3 m;PHOS;0.06;umol/l;Acceptable;2014-04-01T18:04:00Z;0.00185842572
W07;3 m;PTOT;0.2;umol/l;Acceptable;2014-04-01T18:04:00Z;0.0061947524000000006
W07;3 m;SLCA;0.3;umol/l;Acceptable;2014-04-01T18:04:00Z;0.00842565
W09;3 m;AMON;0.44;umol/l;Acceptable;2014-04-01T19:43:00Z;0.006162948
W09;3 m;NTOT;5.7;umol/l;Acceptable;2014-04-01T19:43:00Z;0.07983819000000002
W09;3 m;NTRI;0.06;umol/l;Acceptable;2014-04-01T19:43:00Z;8.40402e-4
W09;3 m;NTRZ;0.56;umol/l;Acceptable;2014-04-01T19:43:00Z;0.007843752
W09;3 m;PHOS;0.06;umol/l;Acceptable;2014-04-01T19:43:00Z;0.00185842572
W09;3 m;PTOT;0.24;umol/l;Acceptable;2014-04-01T19:43:00Z;0.00743370288
W09;3 m;SLCA;0.3;umol/l;Acceptable;2014-04-01T19:43:00Z;0.00842565
W06;3 m;AMON;0.38;umol/l;Acceptable;2014-04-02T02:42:00Z;0.005322546
W06;3 m;NTOT;25;umol/l;Acceptable;2014-04-02T02:42:00Z;0.3501675
W06;3 m;NTRI;0.241;umol/l;Acceptable;2014-04-02T02:42:00Z;0.0033756146999999997
W06;3 m;NTRZ;0.88;umol/l;Acceptable;2014-04-02T02:42:00Z;0.012325896
W06;3 m;PHOS;0.06;umol/l;Acceptable;2014-04-02T02:42:00Z;0.00185842572
W06;3 m;PTOT;0.3;umol/l;Acceptable;2014-04-02T02:42:00Z;0.0092921286
W06;3 m;SLCA;0.3;umol/l;Acceptable;2014-04-02T02:42:00Z;0.00842565
W05;3 m;AMON;0.36;umol/l;Acceptable;2014-04-02T13:02:00Z;0.005042412
W05;3 m;NTOT;21;umol/l;Acceptable;2014-04-02T13:02:00Z;0.2941407
W05;3 m;NTRI;0.203;umol/l;Acceptable;2014-04-02T13:02:00Z;0.0028433601000000005
W05;3 m;NTRZ;13.1;umol/l;Acceptable;2014-04-02T13:02:00Z;0.18348777000000002
W05;3 m;PHOS;0.06;umol/l;Acceptable;2014-04-02T13:02:00Z;0.00185842572
W05;3 m;PTOT;0.31;umol/l;Acceptable;2014-04-02T13:02:00Z;0.00960186622
W05;3 m;SLCA;0.53;umol/l;Acceptable;2014-04-02T13:02:00Z;0.014885315
W08;3 m;AMON;2.1;umol/l;Acceptable;2014-04-02T14:57:00Z;0.029414070000000004
W08;3 m;NTOT;21;umol/l;Acceptable;2014-04-02T14:57:00Z;0.2941407
W08;3 m;NTRI;0.14;umol/l;Acceptable;2014-04-02T14:57:00Z;0.001960938
W08;3 m;NTRZ;4;umol/l;Acceptable;2014-04-02T14:57:00Z;0.0560268
W08;3 m;PHOS;0.17;umol/l;Acceptable;2014-04-02T14:57:00Z;0.005265539540000001
W08;3 m;PTOT;0.41;umol/l;Acceptable;2014-04-02T14:57:00Z;0.01269924242
W08;3 m;SLCA;0.47;umol/l;Acceptable;2014-04-02T14:57:00Z;0.013200185
W10;3 m;AMON;0.61;umol/l;Acceptable;2014-04-02T16:29:00Z;0.008544086999999999
W10;3 m;NTOT;8;umol/l;Acceptable;2014-04-02T16:29:00Z;0.1120536
W10;3 m;NTRI;0.096;umol/l;Acceptable;2014-04-02T16:29:00Z;0.0013446432000000003
W10;3 m;NTRZ;3.3;umol/l;Acceptable;2014-04-02T16:29:00Z;0.046222110000000004
W10;3 m;PHOS;0.094;umol/l;Acceptable;2014-04-02T16:29:00Z;0.002911533628
W10;3 m;PTOT;0.28;umol/l;Acceptable;2014-04-02T16:29:00Z;0.008672653360000001
W10;3 m;SLCA;0.3;umol/l;Acceptable;2014-04-02T16:29:00Z;0.00842565
W03;3 m;AMON;2.4;umol/l;Acceptable;2014-04-03T18:52:00Z;0.03361608
