time,direction,speed,gust
20130101 01,20,4.5,6.4
20130101 02,50,7.4,9
20130101 03,30,7.7,9.3
20130101 04,40,6.1,9.2
20130101 05,40,5.7,9.4
20130101 06,30,5.7,7.9
20130101 07,30,6,8.7
20130101 08,30,4.2,7.3
20130101 09,20,5.7,7.1
20130101 10,30,3.3,6.7
20130101 11,30,2.9,4.9
20130101 12,40,3.7,5
20130101 13,50,4.1,6.1
20130101 14,70,4.4,6.4
20130101 15,80,5.5,6.8
20130101 16,80,3.3,6.9
20130101 17,100,3.6,5.8
20130101 18,90,3.1,5.1
20130101 19,60,2.5,4.2
20130101 20,50,3.7,4.9
20130101 21,70,5.4,6.8
20130101 22,60,5.9,7.4
20130101 23,60,6.1,8.3
20130101 24,40,6.1,8.1
20130102 01,40,5.8,7.6
20130102 02,50,7.2,8.7
20130102 03,50,7.8,9.3
20130102 04,50,6.8,9.3
20130102 05,60,7,8.6
20130102 06,60,8.2,10.2
20130102 07,70,8.4,10.2
20130102 08,50,8.4,10.7
20130102 09,60,8.4,9.8
20130102 10,60,7.9,10.3
20130102 11,50,5.7,9.6
20130102 12,60,5.3,7.1
20130102 13,60,4.5,6.5
20130102 14,40,5.7,7.4
20130102 15,50,4.9,6.8
20130102 16,60,6,6.9
20130102 17,70,6.6,8
20130102 18,60,5.2,7.7
20130102 19,60,5.5,6.2
20130102 20,60,6.2,7
20130102 21,40,5.4,6.9
20130102 22,40,6.1,6.9
20130102 23,60,7.3,8.2
20130102 24,60,8.4,9.5
20130103 01,70,9.3,11
20130103 02,70,9.9,11.8
20130103 03,60,10.4,12.3
20130103 04,50,8.4,12.3
20130103 05,60,8.7,10.9
20130103 06,80,10.7,12.2
20130103 07,80,11,12.9
20130103 08,60,9.3,13.9
20130103 09,40,8.1,11.1
20130103 10,40,7.2,10.1
20130103 11,40,6.9,9.2
20130103 12,50,7.3,9.9
20130103 13,50,6.1,8.6
20130103 14,40,4.9,7.2
20130103 15,30,5.7,7.2
20130103 16,40,5.7,6.9
20130103 17,20,6.9,7.7
20130103 18,20,8,9.7
20130103 19,20,7.8,9.6
20130103 20,30,8.7,9.5
20130103 21,30,7.7,10
20130103 22,20,8.1,9.1
20130103 23,20,8.9,10
20130103 24,20,8.5,9.8
20130104 01,30,8.6,10.1
20130104 02,20,6.3,9.1
20130104 03,20,7.9,9.3
20130104 04,20,8.1,11.6
20130104 05,20,8.2,10.5
20130104 06,20,8.1,11
20130104 07,20,8.6,10
20130104 08,20,8.4,9.8
20130104 09,30,7.4,10.3
20130104 10,30,7.1,9.5
20130104 11,20,6.3,8.7
20130104 12,20,7,9.3
20130104 13,30,5.6,8.7
20130104 14,40,4.4,7.8
20130104 15,30,5.4,8.2
20130104 16,20,6.4,9.7
20130104 17,30,4.8,7.1
20130104 18,20,3.8,7.4
20130104 19,20,2.2,4.3
20130104 20,30,4.6,5.3
20130104 21,30,4.8,5.8
20130104 22,20,4.9,6.3
20130104 23,10,5.3,7.5
20130104 24,10,6,7.2
20130105 01,20,5.4,7.1
20130105 02,10,5.8,7.9
20130105 03,10,7.9,8.9
20130105 04,10,6.8,9.3
20130105 05,20,5.5,8.2
20130105 06,20,4.6,6.7
20130105 07,20,4,5.7
20130105 08,20,4.4,5.4
20130105 09,30,5.5,6.9
20130105 10,30,4.8,7
20130105 11,50,4.4,6
20130105 12,50,3.9,6.6
20130105 13,60,5.3,7
20130105 14,50,6.3,7.7
20130105 15,60,6.3,7.8
20130105 16,60,6.4,8.2
20130105 17,60,6.3,8.1
20130105 18,60,5.7,8.2
20130105 19,60,4.8,7.2
20130105 20,60,5,6.3
20130105 21,30,4.3,6.7
20130105 22,40,4.7,6.2
20130105 23,10,4.5,5.7
20130105 24,10,4.6,5.6
20130106 01,20,4.9,5.8
20130106 02,40,6.5,8.2
20130106 03,30,6.4,8.5
20130106 04,40,6.1,9.1
20130106 05,20,6.1,7.7
20130106 06,30,6.2,7.4
20130106 07,20,6.3,7.6
20130106 08,10,4.5,7
20130106 09,20,5,6.2
20130106 10,20,4.9,6.4
20130106 11,30,4.5,6.3
20130106 12,30,3.6,4.7
20130106 13,350,0.1,4
20130106 14,180,0.7,3.5
20130106 15,160,1.4,2.9
20130106 16,170,0.1,2.6
20130106 17,250,3,4.1
20130106 18,330,0.8,4.1
20130106 19,10,4.2,5.4
20130106 20,10,4.8,5.5
20130106 21,20,4.3,5.5
20130106 22,20,4.3,4.9
20130106 23,10,4.4,5.9
20130106 24,20,3.9,6.1
20130107 01,20,6.8,8
20130107 02,20,5.2,7.6
20130107 03,10,6.6,9.2
20130107 04,10,6.9,8
20130107 05,10,6.9,8.8
20130107 06,10,6.5,8.9
20130107 07,10,7.1,8.2
20130107 08,20,5.5,7.8
20130107 09,10,4.6,6.1
20130107 10,20,5.7,7.1
20130107 11,20,4.6,6
20130107 12,n/,n/a,5.3*
20130107 13,30,1.6,3.7*
20130107 14,50,2.9,4.7
20130107 15,100,3.4,5.3
20130107 16,90,2.8,4.5
20130107 17,60,1.6,3.3
20130107 18,80,3.6,4.7
20130107 19,50,0.5,4.2
20130107 20,360,0.1,0.1
20130107 21,280,0.1,0.2
20130107 22,330,1.6,3.2
20130107 23,360,3.4,4
20130107 24,10,3.2,4.3
20130108 01,10,2.9,4.4
20130108 02,20,3.3,4
20130108 03,350,2.7,4.2
20130108 04,360,0.1,3.1
20130108 05,20,2.2,5.4
20130108 06,20,3.9,4.9
20130108 07,20,5,5.8
20130108 08,30,5.4,6.2
20130108 09,30,6,7.3
20130108 10,40,2.7,6.1
20130108 11,40,2.5,3.9
20130108 12,100,4.6,5.5
20130108 13,70,5.1,6.4
20130108 14,70,4.8,6.2
20130108 15,70,4.2,5.8
20130108 16,70,3.3,5.1
20130108 17,70,2.5,4.7
20130108 18,90,1,3.1
20130108 19,60,0.1,1.4
20130108 20,10,0.1,0.2
20130108 21,30,0.1,0.1
20130108 22,20,1.9,2.6
20130108 23,20,2,2.5
20130108 24,20,2.9,3.4
20130109 01,30,3.7,5.2
20130109 02,30,3.1,4.4
20130109 03,30,4.7,5.4
20130109 04,20,6.4,7.8
20130109 05,50,7.1,8.7
20130109 06,10,4.9,7.9
20130109 07,10,4.8,5.7
20130109 08,20,5.9,7.1
20130109 09,20,8,9.4
20130109 10,20,7.9,10
20130109 11,30,6.4,8.8
20130109 12,20,7,8.5
20130109 13,30,6.2,9
20130109 14,30,5.9,7.4
20130109 15,30,6.4,7.7
20130109 16,30,7.3,8.9
20130109 17,30,7.7,9
20130109 18,30,7,8.7
20130109 19,20,7,8.4
20130109 20,20,8.4,9.8
20130109 21,20,8.6,9.8
20130109 22,20,8.1,9.4
20130109 23,10,7.4,9.9
20130109 24,20,6.3,9.1
20130110 01,10,7.4,8.6
20130110 02,20,7.8,8.8
20130110 03,20,8.2,10.7
20130110 04,20,9.9,11.1
20130110 05,20,9.4,12
20130110 06,30,8.2,10.8
20130110 07,30,9.2,10.4
20130110 08,30,9.4,10.9
20130110 09,20,8,10.1
20130110 10,20,8.1,9.4
20130110 11,30,7.1,9.4
20130110 12,30,7.5,9.1
20130110 13,30,5.1,8.1
20130110 14,60,5.1,7.5
20130110 15,70,4.6,6.8
20130110 16,60,4.6,6.6
20130110 17,70,5.8,7.8
20130110 18,60,6.1,7.7
20130110 19,50,5.1,7.5
20130110 20,40,5.2,7.2
20130110 21,30,5.8,7.6
20130110 22,40,5.9,7.5
20130110 23,40,5.6,7.5
20130110 24,90,9.9,11.2
20130111 01,60,8.8,11.9
20130111 02,70,10.2,12.6
20130111 03,70,10.7,13.1
20130111 04,60,10.3,12
20130111 05,80,11.7,13.5
20130111 06,70,11.9,13.8
20130111 07,60,8.9,12.7
20130111 08,70,9,11.2
20130111 09,60,7,9.3
20130111 10,70,6.3,8
20130111 11,70,5.6,8
20130111 12,80,4.9,6.7
20130111 13,100,5,6.5
20130111 14,110,4.3,6.4
20130111 15,100,2.7,5.4
20130111 16,70,2.1,3.2
20130111 17,50,1.2,2.9
20130111 18,80,0.1,1
20130111 19,20,0.1,0.2
20130111 20,80,3,3.5
20130111 21,60,3.6,4.3
20130111 22,40,2.8,3.8
20130111 23,30,2.8,4.3
20130111 24,30,3.4,4.3
20130112 01,20,5.5,6.5
20130112 02,10,5,6.3
20130112 03,20,5,5.9
20130112 04,20,4.7,5.9
20130112 05,20,5.3,6.3
20130112 06,20,5.7,7.8
20130112 07,30,5.9,7.5
20130112 08,20,5.3,7.3
20130112 09,360,4.5,5.9
20130112 10,10,2.7,5.4
20130112 11,30,2.6,3.3
20130112 12,60,2.5,4.5
20130112 13,40,4.2,5.7
20130112 14,30,4.5,6.7
20130112 15,30,1.3,6.3
20130112 16,250,0.1,1.3
20130112 17,300,0.1,0.2
20130112 18,170,0.1,0.1
20130112 19,170,2.1,3.7
20130112 20,170,0.5,2.9
20130112 21,90,2.2,2.8
20130112 22,50,2.6,3.6
20130112 23,60,1.7,3.5
20130112 24,30,0.8,2
20130113 01,70,2.5,3
20130113 02,10,2.6,3.5
20130113 03,350,2.3,3.7
20130113 04,340,2.3,3.1
20130113 05,320,0.6,2.3
20130113 06,330,3.5,4.2
20130113 07,360,4.2,5.9
20130113 08,10,3.4,6.2
20130113 09,10,4.3,6
20130113 10,10,3.7,6.7
20130113 11,20,3.6,5.2
20130113 12,70,1.6,4.2
20130113 13,150,3.2,3.8
20130113 14,150,2.5,4
20130113 15,140,2.3,3.4
20130113 16,160,2.4,2.9
20130113 17,150,0.1,2.5
20130113 18,330,0.1,0.1
20130113 19,330,0.1,0.1
20130113 20,30,3.5,5.7
20130113 21,360,4,5.7
20130113 22,350,4.3,5.9
20130113 23,10,4.5,5.9
20130113 24,20,8.7,10.7
20130114 01,20,10.8,13
20130114 02,10,7.8,12.3
20130114 03,20,7.3,9.9
20130114 04,20,9.5,10.8
20130114 05,20,7.6,9.6
20130114 06,30,7.1,8.7
20130114 07,20,5.2,7.4
20130114 08,20,4.2,6.2
20130114 09,20,5.5,6.9
20130114 10,20,5.1,6.2
20130114 11,60,2.7,5.6
20130114 12,80,3.2,5.4
20130114 13,60,3,5.4
20130114 14,80,6.4,7.3
20130114 15,80,6.5,7.8
20130114 16,100,6.3,7.6
20130114 17,100,5.3,7
20130114 18,110,4.8,6.6
20130114 19,120,4.1,6.3
20130114 20,100,5.3,6.5
20130114 21,110,5.7,6.8
20130114 22,70,6,6.9
20130114 23,90,7.2,8.6
20130114 24,80,7.8,9.3
20130115 01,60,9.1,10.7
20130115 02,70,11.3,12.8
20130115 03,70,10.7,13
20130115 04,70,11.4,12.8
20130115 05,80,12.2,15
20130115 06,80,11.7,15.5
20130115 07,80,12.3,14.3
20130115 08,70,12.2,14.3
20130115 09,80,11.7,15
20130115 10,70,11.3,13.4
20130115 11,70,11.8,13.9
20130115 12,60,11.3,12.9
20130115 13,50,9.1,12.6
20130115 14,50,9,11.5
20130115 15,30,6.6,10.4
20130115 16,40,6.8,7.9
20130115 17,30,5.4,7.3
20130115 18,30,5.2,6.3
20130115 19,20,4.8,6.3
20130115 20,20,2.9,4.3
20130115 21,20,3,4.7
20130115 22,30,2.6,4.3
20130115 23,20,2.9,5
20130115 24,70,3.8,5.2
20130116 01,80,6.1,6.9
20130116 02,80,7.4,8.8
20130116 03,80,7.2,8.1
20130116 04,60,6.6,7.8
20130116 05,70,6.7,7.5
20130116 06,50,5.6,7.4
20130116 07,60,5.7,6.8
20130116 08,30,4.8,6.4
20130116 09,60,3.8,5
20130116 10,40,2.2,4.6
20130116 11,70,3.9,5.2
20130116 12,80,3.8,5.2
20130116 13,100,4.2,5.1
20130116 14,100,4.1,5.2
20130116 15,100,3.4,4.8
20130116 16,90,4,5
20130116 17,40,2.4,4.5
20130116 18,40,2.9,3.5
20130116 19,30,2.6,3.3
20130116 20,30,4.2,4.7
20130116 21,30,4.5,5.3
20130116 22,40,6.3,7.3
20130116 23,50,6.3,7.7
20130116 24,50,7.7,8.6
20130117 01,60,8.2,9.5
20130117 02,60,8.5,9.8
20130117 03,60,8.1,9.9
20130117 04,70,8.1,9.4
20130117 05,80,9.9,11.7
20130117 06,70,10.7,12.6
20130117 07,70,8.9,12.2
20130117 08,80,9.4,11.3
20130117 09,70,8.7,10.8
20130117 10,80,9.7,11.4
20130117 11,70,8.8,10.8
20130117 12,80,9.3,10.7
20130117 13,90,7.8,10.5
20130117 14,100,7.8,9.1
20130117 15,110,6.4,8.6
20130117 16,80,5.4,7
20130117 17,80,5.9,7
20130117 18,50,6.4,7.9
20130117 19,50,6.2,7.7
20130117 20,30,10,11.4
20130117 21,20,9.3,11.3
20130117 22,20,8.2,10.8
20130117 23,30,6.9,9.5
20130117 24,20,6.6,8.3
20130118 01,20,7.3,8.5
20130118 02,20,7.9,8.9
20130118 03,20,6.9,9.1
20130118 04,20,8.5,9.7
20130118 05,20,7.7,9.6
20130118 06,30,6.7,8.5
20130118 07,30,7.5,8.9
20130118 08,30,6.2,8.1
20130118 09,50,6.8,9
20130118 10,50,8,10
20130118 11,60,8.5,10.6
20130118 12,70,7.8,10.7
20130118 13,70,7.8,9.2
20130118 14,80,7.5,9.3
20130118 15,80,7.4,9.5
20130118 16,90,7.4,9.4
20130118 17,90,7.8,9.9
20130118 18,90,6.8,8.9
20130118 19,90,6.9,8.6
20130118 20,80,7,8.6
20130118 21,90,7.3,9
20130118 22,90,6.8,8.6
20130118 23,80,6.4,9.1
20130118 24,90,6.8,8.6
20130119 01,90,7.5,9.4
20130119 02,80,7.8,10
20130119 03,80,8.9,10.3
20130119 04,70,9.3,10.9
20130119 05,70,10.1,11.9
20130119 06,70,8.7,11.7
20130119 07,70,9.1,11.3
20130119 08,70,8.8,10.8
20130119 09,80,8.1,10.7
20130119 10,80,7.8,10.3
20130119 11,70,6.6,8.8
20130119 12,90,5.8,7.3
20130119 13,70,6.7,8.2
20130119 14,60,7.7,9.4
20130119 15,70,8,9.3
20130119 16,70,7.7,9.7
20130119 17,70,7.9,9.8
20130119 18,70,7.4,9.6
20130119 19,70,8.3,9.4
20130119 20,80,8.3,9.7
20130119 21,70,7.7,9.6
20130119 22,60,8.3,9.4
20130119 23,60,7.3,8.7
20130119 24,70,8.7,10.3
20130120 01,80,10.6,11.7
20130120 02,80,8.7,11.9
20130120 03,60,7.2,9.9
20130120 04,60,8.7,10.2
20130120 05,60,9,10.1
20130120 06,50,8.4,11.1
20130120 07,60,7.2,9.1
20130120 08,60,7,8.6
20130120 09,60,7.3,9.7
20130120 10,70,8.9,10.8
20130120 11,70,9.8,11.7
20130120 12,60,6.9,11.3
20130120 13,50,6.8,9.1
20130120 14,50,6.1,8
20130120 15,50,4.9,6.8
20130120 16,50,6.1,7.8
20130120 17,50,4.5,7.1
20130120 18,60,5.8,6.4
20130120 19,50,5.8,7.1
20130120 20,50,5.7,7.2
20130120 21,40,4.6,7.3
20130120 22,60,5.1,6.6
20130120 23,50,4.6,6.7
20130120 24,60,5.3,6.5
20130121 01,40,4.8,5.5
20130121 02,50,5.8,6.6
20130121 03,50,7,8
20130121 04,50,8.3,9.6
20130121 05,50,8.1,9.6
20130121 06,50,8.3,10.3
20130121 07,50,6.6,9
20130121 08,40,5.2,7.7
20130121 09,50,4.7,6.5
20130121 10,50,5.7,6.4
20130121 11,50,5.4,6.9
20130121 12,40,5.4,8
20130121 13,50,4.8,6.1
20130121 14,50,4.7,6.1
20130121 15,60,4.6,5.7
20130121 16,70,5.7,7.2
20130121 17,50,3.3,6.7
20130121 18,50,3.3,5.1
20130121 19,40,3.7,5.9
20130121 20,40,5.3,6
20130121 21,40,5.5,7.1
20130121 22,40,5.8,7.1
20130121 23,40,6.4,7.5
20130121 24,40,5.9,7.6
20130122 01,40,5.7,7.1
20130122 02,40,5.3,6.7
20130122 03,30,3.8,5.8
20130122 04,40,5.5,6.3
20130122 05,40,3.8,6.1
20130122 06,20,2.7,4.2
20130122 07,20,3,3.6
20130122 08,20,4.1,4.5
20130122 09,20,3.9,4.2
20130122 10,40,3.8,4.2
20130122 11,40,3.3,4.3
20130122 12,60,3.3,4.7
20130122 13,70,4.6,5.1
20130122 14,90,4.3,5.5
20130122 15,100,3.9,4.5
20130122 16,120,2.2,4.2
20130122 17,140,2.5,3.4
20130122 18,Varia,0.1,2.8
20130122 19,180,0.1,0.1
20130122 20,50,0.1,0.1
20130122 21,70,0.1,0.2
20130122 22,60,7.8,8.8
20130122 23,60,7.5,9.3
20130122 24,50,7,9.1
20130123 01,50,8,9.5
20130123 02,50,6.6,9.2
20130123 03,50,6.9,8.6
20130123 04,60,7.6,9.9
20130123 05,60,7.5,9
20130123 06,70,7.9,9.5
20130123 07,70,7.5,9
20130123 08,70,6.7,8.4
20130123 09,80,6.4,8.1
20130123 10,80,6.8,8.4
20130123 11,80,6.3,7.4
20130123 12,80,4.8,7.2
20130123 13,60,4.3,5.7
20130123 14,70,4.1,4.9
20130123 15,100,3.6,5.4
20130123 16,120,2.7,4.1
20130123 17,140,3.5,4.6
20130123 18,120,2.3,3.8
20130123 19,90,2.3,2.9
20130123 20,40,2.2,2.6
20130123 21,30,3.2,4
20130123 22,30,3.6,4.1
20130123 23,40,3.5,4.3
20130123 24,40,4.7,5.6
20130124 01,50,4.8,6.1
20130124 02,60,6.4,7.2
20130124 03,50,6.7,7.6
20130124 04,70,7.2,8.9
20130124 05,80,8.1,9.2
20130124 06,70,5,8.5
20130124 07,70,6.5,7.2
20130124 08,60,5.8,7.1
20130124 09,60,5.1,6.2
20130124 10,80,2.9,6
20130124 11,30,3.9,4.7
20130124 12,40,3.5,4.8
20130124 13,40,2.6,4.1
20130124 14,80,2,3.4
20130124 15,120,0.1,2.6
20130124 16,160,0.1,0.1
20130124 17,190,0.1,0.1
20130124 18,130,0.1,0.1
20130124 19,340,0.1,0.1
20130124 20,360,0.1,0.1
20130124 21,40,2.6,3.2
20130124 22,10,1.6,3.1
20130124 23,360,2.3,3.4
20130124 24,50,6.2,6.6
20130125 01,50,6.1,7.8
20130125 02,60,6.8,8.1
20130125 03,70,6.7,8.2
20130125 04,70,5.8,7.4
20130125 05,80,7.2,9
20130125 06,30,4.3,7.6
20130125 07,20,6.7,7.4
20130125 08,20,5.1,7.8
20130125 09,20,5.4,6.3
20130125 10,30,5,6.7
20130125 11,30,3.6,5.8
20130125 12,60,3.1,4.6
20130125 13,60,3.2,5
20130125 14,60,3.6,5.6
20130125 15,60,3,4.8
20130125 16,110,3.5,4.4
20130125 17,110,2.2,4.4
20130125 18,60,1.3,2.8
20130125 19,60,2.1,2.4
20130125 20,70,3.9,4.6
20130125 21,40,3.6,4.5
20130125 22,50,5.4,6
20130125 23,50,5.8,6.7
20130125 24,60,6.5,7.4
20130126 01,60,7.2,8
20130126 02,70,8,9.1
20130126 03,80,8,9.1
20130126 04,80,8.1,10.1
20130126 05,70,7.7,9.3
20130126 06,80,6.8,8.3
20130126 07,80,8.4,9.4
20130126 08,100,8.7,10.1
20130126 09,90,8.6,9.7
20130126 10,70,7,9.4
20130126 11,60,7.2,8.6
20130126 12,70,8,9.1
20130126 13,70,7.7,9.9
20130126 14,70,6.3,7.9
20130126 15,60,4.7,7.4
20130126 16,60,5.1,5.9
20130126 17,70,3.7,5.6
20130126 18,70,3.5,4.2
20130126 19,80,3.7,4.3
20130126 20,50,4.1,4.9
20130126 21,40,4,5.3
20130126 22,40,3.7,5.4
20130126 23,30,4.1,5.5
20130126 24,20,3.6,4.8
20130127 01,30,3.6,4.6
20130127 02,30,3.7,5.9
20130127 03,30,6.2,6.9
20130127 04,40,5.6,7.8
20130127 05,30,5.3,6.5
20130127 06,30,4.8,5.9
20130127 07,60,6.6,8
20130127 08,60,8.1,9.2
20130127 09,30,4.7,9.1
20130127 10,30,5.5,6.6
20130127 11,50,7,9.3
20130127 12,60,6.9,8.5
20130127 13,40,5.4,8.6
20130127 14,50,4.3,6.7
20130127 15,50,2.4,4.5
20130127 16,80,2.2,3
20130127 17,110,4.4,6.6
20130127 18,100,3.7,6
20130127 19,70,3,4.8
20130127 20,90,4.1,5.9
20130127 21,70,5.3,6.2
20130127 22,60,6.2,7.3
20130127 23,70,8.4,9.7
20130127 24,n/,n/a,10.6
20130128 01,80,11.3,13
20130128 02,90,11.6,13.7
20130128 03,90,12.7,14.2
20130128 04,80,12.1,14.1
20130128 05,90,11.5,14.3
20130128 06,70,11.5,14.3
20130128 07,80,12.8,14.4
20130128 08,80,11.4,14.3
20130128 09,80,11.1,13.9
20130128 10,80,11.6,14
20130128 11,80,11.6,13.7
20130128 12,80,11.7,13.8
20130128 13,80,10.1,12.8
20130128 14,90,9.3,12.1
20130128 15,80,8.4,10.9
20130128 16,100,6.8,9.2
20130128 17,90,7.2,8.7
20130128 18,80,7.8,9.3
20130128 19,80,7.5,9.1
20130128 20,70,7.2,9.1
20130128 21,80,6.1,8.9
20130128 22,70,7.5,8.5
20130128 23,60,6.5,8.9
20130128 24,60,8.2,9.7
20130129 01,60,8.2,10.3
20130129 02,60,8,10.4
20130129 03,80,10,11.6
20130129 04,60,9.6,11.8
20130129 05,50,9,11.5
20130129 06,70,6.6,10.7
20130129 07,60,7.7,8.8
20130129 08,60,7.3,8.9
20130129 09,70,7.4,8.5
20130129 10,80,6,8.1
20130129 11,60,4.4,7
20130129 12,60,5.4,6.2
20130129 13,60,5,7
20130129 14,80,5.5,6.9
20130129 15,90,4.8,6.5
20130129 16,90,4.9,6.3
20130129 17,70,4.1,5.9
20130129 18,50,3.5,4.7
20130129 19,50,3.7,4.9
20130129 20,50,4.4,5.7
20130129 21,40,3.8,4.8
20130129 22,30,4.4,5.6
20130129 23,40,4.7,5.5
20130129 24,30,4.5,5.6
20130130 01,40,4.9,6
20130130 02,30,4.7,5.7
20130130 03,40,5.8,6.8
20130130 04,40,7.5,8.8
20130130 05,40,6.8,8
20130130 06,60,7.4,8.7
20130130 07,80,9.7,11.7
20130130 08,90,11.6,13.6
20130130 09,90,10.1,11.8
20130130 10,80,9.2,11
20130130 11,80,10,11.5
20130130 12,70,8.6,11.3
20130130 13,60,8.7,10
20130130 14,50,7.1,9.4
20130130 15,80,8.1,9.5
20130130 16,100,7.1,10.4
20130130 17,90,6.9,7.8
20130130 18,70,6.3,8.5
20130130 19,40,4,6.8
20130130 20,50,5.7,6.2
20130130 21,50,5.5,6.7
20130130 22,50,5.8,7.4
20130130 23,40,5.9,6.6
20130130 24,40,7.1,8.8
20130131 01,60,7.7,8.9
20130131 02,50,7.3,8.5
20130131 03,60,7.3,8.5
20130131 04,70,9.1,10.6
20130131 05,80,8.6,11.1
20130131 06,80,7.2,9.6
20130131 07,70,7,9.1
20130131 08,80,7,10.2
20130131 09,80,7.5,10
20130131 10,80,6.1,9.4
20130131 11,70,7.9,9.4
20130131 12,60,8.1,9.7
20130131 13,60,6.3,8.1
20130131 14,60,6.7,8.1
20130131 15,70,5.7,8
20130131 16,50,4.6,6.9
20130131 17,50,5.2,6.7
20130131 18,50,5.9,7.1
20130131 19,60,5.5,7.4
20130131 20,60,5.1,7.4
20130131 21,50,3.9,5.8
20130131 22,50,4,5.4
20130131 23,50,4.2,5.2
20130131 24,70,5.5,6.9
20130201 01,80,5.9,7
20130201 02,50,5.2,6.8
20130201 03,40,5.7,6.9
20130201 04,20,6.4,7.2
20130201 05,30,6.2,7.3
20130201 06,20,4.5,6.7
20130201 07,20,4.6,5
20130201 08,10,4.6,6.1
20130201 09,10,4.9,7.2
20130201 10,10,4,5.4
20130201 11,30,3.4,5.1
20130201 12,40,3.3,3.9
20130201 13,60,3.6,4.8
20130201 14,60,4.8,5
20130201 15,90,4.5,5.1
20130201 16,80,4,5
20130201 17,80,3.2,4
20130201 18,90,2.7,3.4
20130201 19,120,3.1,4.4
20130201 20,90,2,3.7
20130201 21,10,2,2.5
20130201 22,20,1.7,2.4
20130201 23,30,1.8,2.3
20130201 24,70,2.3,2.7
20130202 01,50,2.9,3.2
20130202 02,40,3.2,3.5
20130202 03,30,4.3,4.6
20130202 04,30,3.7,4.5
20130202 05,30,3.4,4.3
20130202 06,20,3.5,4.7
20130202 07,20,3.7,4.2
20130202 08,20,3.1,4.5
20130202 09,40,2.5,3.4
20130202 10,30,3.5,3.9
20130202 11,40,2.6,4
20130202 12,70,4.9,5.6
20130202 13,80,5.8,6.7
20130202 14,80,8.5,9.3
20130202 15,80,8.5,9.9
20130202 16,60,7.3,9.3
20130202 17,50,6.3,8.6
20130202 18,50,7.8,9.2
20130202 19,40,8.7,10
20130202 20,50,8.2,10.2
20130202 21,50,8.6,10.7
20130202 22,70,10.6,12.3
20130202 23,70,7.3,11.5
20130202 24,100,10.1,12.9
20130203 01,90,12.2,15
20130203 02,80,9.8,14.2
20130203 03,80,12.4,14.4
20130203 04,90,12.2,15.6
20130203 05,90,11.9,16
20130203 06,90,9.1,12.6
20130203 07,70,8.7,12.5
20130203 08,80,9.2,13.4
20130203 09,90,11.5,13.4
20130203 10,110,12.3,15.1
20130203 11,70,10.8,15.8
20130203 12,50,10.5,11.7
20130203 13,60,9.1,11.9
20130203 14,50,7.5,10
20130203 15,50,7.1,8.3
20130203 16,40,7,8.3
20130203 17,40,5.2,7.7
20130203 18,50,6,6.9
20130203 19,80,6.6,7.4
20130203 20,70,8,8.3
20130203 21,40,5.7,8.1
20130203 22,40,5.3,6.8
20130203 23,40,5.3,6.2
20130203 24,30,5.8,6.4
20130204 01,50,6.3,6.9
20130204 02,40,5.1,7.1
20130204 03,40,4.4,6
20130204 04,40,3.8,5.3
20130204 05,50,4.8,5.6
20130204 06,40,4.2,5.6
20130204 07,50,4.3,5.8
20130204 08,30,3.2,5.3
20130204 09,30,3.4,4.2
20130204 10,20,3.9,4.7
20130204 11,50,3.7,5.2
20130204 12,50,3.9,4.8
20130204 13,50,3.3,4.9
20130204 14,60,3.9,4.2
20130204 15,50,2.5,4.3
20130204 16,60,1.2,2.6
20130204 17,140,2.9,3.2
20130204 18,120,3.6,4.4
20130204 19,350,0.2,3.7
20130204 20,120,0.1,2.3
20130204 21,120,0.1,0.1
20130204 22,40,0.1,0.1
20130204 23,80,2.2,2.7
20130204 24,50,2.1,2.5
20130205 01,30,2.4,2.8
20130205 02,50,3.1,3.3
20130205 03,50,3.6,4
20130205 04,50,4.9,6.1
20130205 05,70,6.3,8.1
20130205 06,80,6.2,8
20130205 07,40,4,6.8
20130205 08,50,3.4,4.6
20130205 09,80,3.2,4.9
20130205 10,n/,n/a,4.5*
20130205 11,30,4.4,5.1
20130205 12,40,3.8,4.5
20130205 13,50,4.6,5.6
20130205 14,60,5.5,6.7
20130205 15,90,5.9,7
20130205 16,60,3.9,5.9
20130205 17,70,4.7,5.3
20130205 18,50,5.6,6.6
20130205 19,60,4.1,6
20130205 20,40,4.3,5.2
20130205 21,40,5,5.9
20130205 22,30,5.6,6.5
20130205 23,40,5.7,7.3
20130205 24,40,5.1,6.9
20130206 01,40,5.7,6.8
20130206 02,50,5.2,6.4
20130206 03,40,4.3,5.6
20130206 04,40,4.5,5.7
20130206 05,50,5,5.8
20130206 06,70,6.2,7.1
20130206 07,60,4.8,6.3
20130206 08,50,4.5,5.5
20130206 09,40,3.8,5.1
20130206 10,40,4.5,5.4
20130206 11,50,4.8,5.2
20130206 12,50,2.5,5.2
20130206 13,70,2.7,3.3
20130206 14,70,1.9,3.7
20130206 15,80,2.9,3.4
20130206 16,80,3.5,4.4
20130206 17,110,5.9,6.6
20130206 18,110,5.4,6.2
20130206 19,70,3.2,5.6
20130206 20,50,3.9,4.6
20130206 21,60,5.9,7
20130206 22,90,8.1,9.3
20130206 23,100,9.2,10.6
20130206 24,90,9.4,12.1
20130207 01,80,9.4,10.9
20130207 02,60,9,11.9
20130207 03,50,9.6,11
20130207 04,60,10.4,11.5
20130207 05,60,8,11.1
20130207 06,90,4.2,9.7
